genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005770632843947446,0.005793235284827329,1000,-2.2602440879882987e-05,0.6473526473526473
Danklied des Einzelnen,0.05652863128887871,0.056392444435026876,1000,0.00013618685385183293,0.1018981018981019
Fluch,0.004309813842449784,0.004366435281891436,1000,-5.6621439441651225e-05,0.985014985014985
Hymnus,0.14935510777230968,0.14918456295349344,1000,0.00017054481881623174,0.0979020979020979
Klagelied des Einzelnen,0.1530783716884574,0.15230741576106216,1000,0.0007709559273952338,0.011988011988011988
Klagelied des Volkes,0.03530964638953926,0.03498015946081168,1000,0.0003294869287275848,0.016983016983016984
Königspsalm,0.027320615094859522,0.027374528518833555,1000,-5.391342397403215e-05,0.6123876123876124
Legende,0.29583333333333334,0.2958333333333334,1000,-5.551115123125783e-17,1.0
Liturgie,0.02977072958514523,0.030497750067008396,1000,-0.0007270204818631658,0.997002997002997
Mischgedicht,0.02681030408415603,0.027262305049820572,1000,-0.0004520009656645424,0.8871128871128872
Segensspruch,0.034090738033360865,0.031729462363554436,1000,0.0023612756698064286,0.001998001998001998
Segenswunsch,0.01277626215478082,0.01260374988650591,1000,0.00017251226827491063,0.23876123876123875
Siegeslied,0.005628063960437454,0.005409458948648085,1000,0.00021860501178936915,0.07192807192807193
Thronbesteigungslied,0.017531885838974387,0.018541708915801,1000,-0.0010098230768266145,0.9310689310689311
Tora,0.0018463417665001989,0.0018550374732917991,1000,-8.69570679160026e-06,0.9820179820179821
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.032537921110594226,0.03278317756103099,1000,-0.00024525645043676353,0.9330669330669331
Zionslied,0.012475274111183618,0.01247989087736654,1000,-4.616766182921617e-06,0.5014985014985015
prophetische Gerichtsrede,0.013513513513513514,0.015163553732435303,1000,-0.0016500402189217889,0.8601398601398601
prophetische Redeweise,0.01294485912533411,0.012873567028499216,1000,7.129209683489485e-05,0.25074925074925075
"prophetische Schelt-, Droh- und Mahnrede",0.028753796866332476,0.02819189131691531,1000,0.000561905549417166,0.0919080919080919
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007107029874460626,0.007161906254716485,1000,-5.487638025585863e-05,0.8871128871128872
