genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0022795960400458695,0.0023052019965091757,1000,-2.5605956463306285e-05,0.5774225774225774
Danklied des Einzelnen,0.059462411887224544,0.05960565624661798,1000,-0.00014324435939343932,0.5494505494505495
Fluch,0.004108140948736088,0.003996945738767089,1000,0.00011119520996899848,0.22677322677322678
Hymnus,0.18380027261894377,0.18739087898069198,1000,-0.003590606361748211,0.987012987012987
Klagelied des Einzelnen,0.13500707734585327,0.13635027827931545,1000,-0.0013432009334621853,0.7932067932067932
Klagelied des Volkes,0.029248577050104835,0.028452500440776532,1000,0.0007960766093283028,0.1068931068931069
Königspsalm,0.023957361156608695,0.023584432093826987,1000,0.0003729290627817079,0.1798201798201798
Legende,0.002753873954481857,0.002758374629482484,1000,-4.500675000627171e-06,0.47052947052947053
Liturgie,0.013419314516079056,0.01332258113324552,1000,9.67333828335356e-05,0.36863136863136864
Mischgedicht,0.007115876827703483,0.007386283620803916,1000,-0.0002704067931004325,0.7752247752247752
Segensspruch,0.020330603205811253,0.019659427372042303,1000,0.0006711758337689493,0.08891108891108891
Segenswunsch,0.006380547689978093,0.006361596706088188,1000,1.895098388990553e-05,0.43456543456543456
Siegeslied,0.0040710183125782975,0.004307162544814723,1000,-0.00023614423223642517,0.6893106893106893
Thronbesteigungslied,0.01775849827198897,0.03177059130343285,1000,-0.014012093031443879,0.929070929070929
Tora,1.0,1.0,1000,0.0,1.0
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028180558854908864,0.027396633550112747,1000,0.0007839253047961167,0.08591408591408592
Zionslied,0.004271809304277082,0.006069373256240166,1000,-0.0017975639519630833,0.5894105894105894
prophetische Gerichtsrede,0.0045662100456621,0.003055158703663384,1000,0.001511051341998716,0.000999000999000999
prophetische Redeweise,0.012551896940138533,0.012840332083471512,1000,-0.00028843514333297925,0.39760239760239763
"prophetische Schelt-, Droh- und Mahnrede",0.013252892364432601,0.014353230336544993,1000,-0.0011003379721123922,0.5444555444555444
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008875792118252762,0.008773047270686635,1000,0.00010274484756612676,0.2707292707292707
