genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002248124814327939,0.0022892499605311994,1000,-4.1125146203260365e-05,0.7212787212787213
Danklied des Einzelnen,0.0650009756248713,0.06497378863715807,1000,2.7186987713229138e-05,0.46153846153846156
Fluch,0.004243952232638369,0.0041772326413432705,1000,6.671959129509863e-05,0.27972027972027974
Hymnus,0.18694814117503888,0.1882346108603161,1000,-0.0012864696852772084,0.8851148851148851
Klagelied des Einzelnen,0.1487349001822817,0.14709219134034754,1000,0.001642708841934154,0.11988011988011989
Klagelied des Volkes,0.02652769857644177,0.026416811757734693,1000,0.00011088681870707884,0.33966033966033965
Königspsalm,0.02232848160843273,0.021680760749605718,1000,0.0006477208588270104,0.015984015984015984
Legende,0.0554577385305776,0.06995565037278026,1000,-0.014497911842202657,0.929070929070929
Liturgie,0.012817269806277773,0.012758501683081241,1000,5.876812319653181e-05,0.3676323676323676
Mischgedicht,0.009039907824227847,0.00887679981157703,1000,0.0001631080126508165,0.24075924075924077
Segensspruch,0.0183780580787251,0.01874754712465147,1000,-0.00036948904592637097,0.9000999000999002
Segenswunsch,0.0072202931081540075,0.007057711984683562,1000,0.00016258112347044586,0.21178821178821178
Siegeslied,0.004479208759373495,0.005105267248793279,1000,-0.0006260584894197839,0.8821178821178821
Thronbesteigungslied,0.036563521189985425,0.03208126342625664,1000,0.004482257763728785,0.21478521478521478
Tora,1.0,0.97375,1000,0.026249999999999996,0.8421578421578422
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02911488876876857,0.02912528886457157,1000,-1.0400095802998166e-05,0.5134865134865135
Zionslied,0.013206537894116292,0.015385401689116257,1000,-0.002178863794999965,0.7002997002997003
prophetische Gerichtsrede,0.0022522522522522522,0.0023834468497590374,1000,-0.0001311945975067852,0.6263736263736264
prophetische Redeweise,0.026282360052234645,0.014976512483066657,1000,0.011305847569167988,0.008991008991008992
"prophetische Schelt-, Droh- und Mahnrede",0.019961649597996678,0.012724393380617476,1000,0.007237256217379202,0.026973026973026972
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.0100160579487324,0.009936341099171141,1000,7.971684956125866e-05,0.34965034965034963
