genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0036552335534143668,0.004607782881090555,1000,-0.0009525493276761883,0.46853146853146854
Danklied des Einzelnen,0.04626993313789591,0.045618065895343306,1000,0.0006518672425526034,0.23976023976023977
Fluch,0.007679635249972128,0.0058950389531417634,1000,0.0017845962968303644,0.12887112887112886
Hymnus,0.1500405954414844,0.1483993608748017,1000,0.0016412345666826922,0.12087912087912088
Klagelied des Einzelnen,0.10279074936950272,0.10587865965010612,1000,-0.003087910280603401,0.981018981018981
Klagelied des Volkes,0.03209522706380375,0.03350433663645505,1000,-0.0014091095726513,0.9150849150849151
Königspsalm,0.022032029540926763,0.026079162212146758,1000,-0.004047132671219995,1.0
Legende,0.08809320829781188,0.06076306340839504,1000,0.02733014488941684,0.21178821178821178
Liturgie,0.022500894553650404,0.02767423950708379,1000,-0.005173344953433388,0.994005994005994
Mischgedicht,0.018217401941417008,0.02671692706420557,1000,-0.008499525122788561,0.967032967032967
Segensspruch,0.05034382538266981,0.03641005814067209,1000,0.01393376724199772,0.01998001998001998
Segenswunsch,0.005245394341694749,0.005450073863356916,1000,-0.00020467952166216673,0.38461538461538464
Siegeslied,0.00393660539666708,0.00450244888008183,1000,-0.00056584348341475,0.6753246753246753
Thronbesteigungslied,0.010064672846383578,0.01023711102807628,1000,-0.00017243818169270127,0.42157842157842157
Tora,0.005917159763313609,0.005384782469567831,1000,0.0005323772937457782,0.24475524475524477
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03062926739280313,0.030511781844767813,1000,0.00011748554803531555,0.4025974025974026
Zionslied,0.0073174700592482265,0.011079938436407848,1000,-0.003762468377159622,0.9500499500499501
prophetische Gerichtsrede,0.0026246719160104987,0.003817337010770241,1000,-0.0011926650947597425,0.7932067932067932
prophetische Redeweise,0.011328943695321145,0.011515624515965855,1000,-0.00018668082064471,0.4965034965034965
"prophetische Schelt-, Droh- und Mahnrede",0.00626279615417668,0.006014792326723112,1000,0.00024800382745356845,0.29270729270729273
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008006955546088577,0.008201542347774723,1000,-0.00019458680168614635,0.43656343656343655
