genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008813029545220022,0.00928945855068325,1000,-0.00047642900546322753,0.929070929070929
Danklied des Einzelnen,0.06090433988863922,0.0607098359938663,1000,0.00019450389477292107,0.004995004995004995
Fluch,0.004415286395844777,0.004432035672801829,1000,-1.674927695705184e-05,0.9440559440559441
Hymnus,0.15097380187493797,0.15086392940090632,1000,0.00010987247403165812,0.13186813186813187
Klagelied des Einzelnen,0.1493319951470995,0.14902969311338612,1000,0.0003023020337133697,0.12687312687312688
Klagelied des Volkes,0.03497628779634775,0.03449348496992785,1000,0.0004828028264199022,0.004995004995004995
Königspsalm,0.027464649563933723,0.027525979634703913,1000,-6.133007077019012e-05,0.6433566433566433
Legende,0.3,0.2999999999999999,1000,1.1102230246251565e-16,1.0
Liturgie,0.02564141324147087,0.025799799699397448,1000,-0.00015838645792657854,0.965034965034965
Mischgedicht,0.028955313144467837,0.028818554457141335,1000,0.00013675868732650198,0.30569430569430567
Segensspruch,0.025304628744828646,0.02357441895027069,1000,0.0017302097945579575,0.000999000999000999
Segenswunsch,0.016360095282276676,0.01635981615290467,1000,2.7912937200502697e-07,0.5014985014985015
Siegeslied,0.007899777731773652,0.0076046853580772344,1000,0.00029509237369641783,0.41358641358641357
Thronbesteigungslied,0.017768163979291807,0.01791655622075603,1000,-0.00014839224146422428,0.6453546453546454
Tora,0.0023802743938516986,0.002460390075087727,1000,-8.011568123602849e-05,1.0
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03238979151838039,0.03252819080113227,1000,-0.0001383992827518818,0.951048951048951
Zionslied,0.012195978323215435,0.011912015443258069,1000,0.0002839628799573661,0.056943056943056944
prophetische Gerichtsrede,0.024390243902439025,0.02439389255219807,1000,-3.6486497590436373e-06,0.5644355644355644
prophetische Redeweise,0.015303495065333414,0.015116066946737105,1000,0.00018742811859630976,0.003996003996003996
"prophetische Schelt-, Droh- und Mahnrede",0.0288066722708486,0.0287672078794397,1000,3.946439140889782e-05,0.21978021978021978
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007630536177999242,0.007595412427782543,1000,3.512375021669928e-05,0.4975024975024975
