genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00451450848715184,0.003394648441803362,1000,0.0011198600453484783,0.11388611388611389
Danklied des Einzelnen,0.062369967589764125,0.06731593848182187,1000,-0.004945970892057741,0.983016983016983
Fluch,0.005077631606706454,0.004295344804770895,1000,0.0007822868019355588,0.0939060939060939
Hymnus,0.1681894674952718,0.1753530222767667,1000,-0.007163554781494885,0.998001998001998
Klagelied des Einzelnen,0.13943518382919967,0.13994134608753755,1000,-0.0005061622583378833,0.5244755244755245
Klagelied des Volkes,0.028164927344575076,0.029010285450509064,1000,-0.0008453581059339882,0.7152847152847153
Königspsalm,0.02407647368163305,0.023971556788222225,1000,0.00010491689341082452,0.4195804195804196
Legende,0.0063001732533100405,0.008114938902429645,1000,-0.0018147656491196047,0.2867132867132867
Liturgie,0.013449421504995951,0.014186328872806431,1000,-0.0007369073678104802,0.7522477522477522
Mischgedicht,0.011135017287330054,0.009982190244570886,1000,0.001152827042759168,0.16283716283716285
Segensspruch,0.02275017998658143,0.02046797253940266,1000,0.002282207447178771,0.03496503496503497
Segenswunsch,0.006045185084197277,0.00645706358069276,1000,-0.0004118784964954828,0.8761238761238761
Siegeslied,0.008324426155826741,0.005299978708425823,1000,0.003024447447400919,0.06793206793206794
Thronbesteigungslied,0.037723552993378026,0.018393192520284266,1000,0.01933036047309376,0.0989010989010989
Tora,1.0,0.9862000000000001,1000,0.013799999999999923,0.973026973026973
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028348667560226595,0.028520222779566153,1000,-0.00017155521933955725,0.5194805194805194
Zionslied,0.007945597322814631,0.007694851834790783,1000,0.00025074548802384803,0.14285714285714285
prophetische Gerichtsrede,0.047619047619047616,0.005965142474029543,1000,0.04165390514501807,0.02097902097902098
prophetische Redeweise,0.013406071904196838,0.017040187179737595,1000,-0.003634115275540757,0.7282717282717283
"prophetische Schelt-, Droh- und Mahnrede",0.011158666720515712,0.017126972902129174,1000,-0.005968306181613462,0.9820179820179821
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011556106829902876,0.011737934679407215,1000,-0.00018182784950433913,0.42157842157842157
