genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002428921135272509,0.0024455131232203582,1000,-1.6591987947849225e-05,0.5584415584415584
Danklied des Einzelnen,0.06608157669960912,0.06549842928483982,1000,0.0005831474147693083,0.12287712287712288
Fluch,0.00415932304856644,0.0040867175473002755,1000,7.260550126616475e-05,0.24675324675324675
Hymnus,0.18771185934604356,0.19077192390300365,1000,-0.0030600645569600904,0.998001998001998
Klagelied des Einzelnen,0.14884288751043,0.14450266088307417,1000,0.0043402266273558365,0.002997002997002997
Klagelied des Volkes,0.026594501397598103,0.026323665670979983,1000,0.00027083572661812036,0.13086913086913088
Königspsalm,0.022375754038338126,0.02165821269232851,1000,0.0007175413460096154,0.003996003996003996
Legende,0.04117903169627308,0.05791814075810466,1000,-0.016739109061831584,0.8771228771228772
Liturgie,0.013476316759043466,0.013142163756053208,1000,0.0003341530029902576,0.2887112887112887
Mischgedicht,0.009468106287016945,0.009477273208560117,1000,-9.166921543171322e-06,0.5104895104895105
Segensspruch,0.01910331984535621,0.018736673640705675,1000,0.00036664620465053435,0.13486513486513488
Segenswunsch,0.005897254304676001,0.005900356905881628,1000,-3.102601205627435e-06,0.4965034965034965
Siegeslied,0.0036722795592375682,0.0037221539137740223,1000,-4.987435453645411e-05,0.5964035964035964
Thronbesteigungslied,0.04084899874617388,0.032487807100010396,1000,0.00836119164616348,0.12887112887112886
Tora,1.0,0.9903888888888889,1000,0.009611111111111126,0.9410589410589411
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028944539282022452,0.029369058370620992,1000,-0.0004245190885985399,0.9310689310689311
Zionslied,0.006190444716627903,0.005826261447396443,1000,0.00036418326923145974,0.20679320679320679
prophetische Gerichtsrede,0.0019569471624266144,0.0021202778971608134,1000,-0.000163330734734199,0.7722277722277723
prophetische Redeweise,0.015315569964471495,0.014509984283094335,1000,0.0008055856813771606,0.3036963036963037
"prophetische Schelt-, Droh- und Mahnrede",0.01652368387055926,0.011275556046503649,1000,0.005248127824055612,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.009906118683532285,0.010041408087220524,1000,-0.00013528940368823933,0.5114885114885115
