genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005674024812654204,0.0056099830693418385,1000,6.404174331236558e-05,0.18281718281718282
Danklied des Einzelnen,0.05668707337531183,0.05653851434324937,1000,0.00014855903206245635,0.09090909090909091
Fluch,0.004448836557285308,0.004503504190286027,1000,-5.466763300071911e-05,0.9440559440559441
Hymnus,0.14948062263536394,0.14938107141099288,1000,9.95512243710528e-05,0.27372627372627373
Klagelied des Einzelnen,0.15391694504023373,0.15325903352580042,1000,0.0006579115144333125,0.03796203796203796
Klagelied des Volkes,0.03629281606972953,0.03600860456820958,1000,0.00028421150151995006,0.058941058941058944
Königspsalm,0.026646035173286585,0.02679187663870958,1000,-0.000145841465422996,0.8041958041958042
Legende,0.29583333333333334,0.2958333333333334,1000,-5.551115123125783e-17,1.0
Liturgie,0.029666417961424864,0.030882691463697584,1000,-0.0012162735022727203,0.996003996003996
Mischgedicht,0.026095256777385903,0.0263938872933063,1000,-0.0002986305159203978,0.8181818181818182
Segensspruch,0.035462161292030676,0.03277495925127963,1000,0.002687202040751048,0.001998001998001998
Segenswunsch,0.01273918983132646,0.012465991882228081,1000,0.0002731979490983791,0.2897102897102897
Siegeslied,0.005389450230168704,0.005186140055136965,1000,0.00020331017503173905,0.055944055944055944
Thronbesteigungslied,0.01747346684951117,0.01782925940508114,1000,-0.0003557925555699691,0.7282717282717283
Tora,0.0018207399710576016,0.001830680237971707,1000,-9.94026691410535e-06,0.998001998001998
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03223034748699107,0.03250062324626223,1000,-0.0002702757592711602,0.949050949050949
Zionslied,0.011915602383004797,0.011953619469992492,1000,-3.801708698769439e-05,0.5534465534465535
prophetische Gerichtsrede,0.014285714285714285,0.0158802762352124,1000,-0.001594561949498115,0.8291708291708292
prophetische Redeweise,0.012722810764367692,0.012641546628702845,1000,8.12641356648467e-05,0.3126873126873127
"prophetische Schelt-, Droh- und Mahnrede",0.028734078463125732,0.028695637002957377,1000,3.844146016835498e-05,0.12487512487512488
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007059247036051739,0.007119953929731994,1000,-6.070689368025458e-05,0.9100899100899101
