genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002694642661371552,0.002547097440353591,1000,0.00014754522101796067,0.18281718281718282
Danklied des Einzelnen,0.0696091737896827,0.06914136381827148,1000,0.0004678099714112288,0.36563436563436563
Fluch,0.005444785353917843,0.004909753188510936,1000,0.0005350321654069064,0.08191808191808192
Hymnus,0.1776875933779718,0.1784949872136869,1000,-0.0008073938357150978,0.6563436563436563
Klagelied des Einzelnen,0.14114953797866658,0.14085195293508776,1000,0.0002975850435788241,0.4195804195804196
Klagelied des Volkes,0.028205339352310583,0.027889435982630887,1000,0.0003159033696796959,0.3086913086913087
Königspsalm,0.02320531941184128,0.022516998895376797,1000,0.0006883205164644815,0.13886113886113885
Legende,0.005047942344986733,0.003312165338628891,1000,0.0017357770063578422,0.001998001998001998
Liturgie,0.01425019081028453,0.014162279699960655,1000,8.791111032387458e-05,0.33166833166833165
Mischgedicht,0.010203618891796915,0.00972100023217671,1000,0.0004826186596202046,0.1978021978021978
Segensspruch,0.019994102655262212,0.019378614840200165,1000,0.000615487815062047,0.08591408591408592
Segenswunsch,0.006943832529559755,0.006940425807423091,1000,3.4067221366639033e-06,0.4645354645354645
Siegeslied,0.0043336778445155506,0.004439228169416322,1000,-0.00010555032490077148,0.5054945054945055
Thronbesteigungslied,0.031840408474723594,0.024820985969115198,1000,0.007019422505608396,0.06693306693306693
Tora,1.0,1.0,1000,0.0,1.0
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029950891808957082,0.02931052955316322,1000,0.0006403622557938637,0.20679320679320679
Zionslied,0.006048165749583918,0.006906997220014607,1000,-0.0008588314704306892,0.5464535464535465
prophetische Gerichtsrede,0.001644736842105263,0.002298790876097433,1000,-0.00065405403399217,0.997002997002997
prophetische Redeweise,0.012809710684379298,0.017556434958749187,1000,-0.004746724274369889,0.9080919080919081
"prophetische Schelt-, Droh- und Mahnrede",0.018978301022141278,0.012438224368398212,1000,0.0065400766537430655,0.04395604395604396
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.014083346358595726,0.013789728276657113,1000,0.00029361808193861284,0.32167832167832167
