genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.003483543446087347,0.003993667552116178,1000,-0.0005101241060288305,0.5314685314685315
Danklied des Einzelnen,0.04589837761365629,0.04536616719876315,1000,0.0005322104148931389,0.24475524475524477
Fluch,0.007664170016727206,0.006104449710196977,1000,0.0015597203065302288,0.14985014985014986
Hymnus,0.14797732002071828,0.14630018869968858,1000,0.0016771313210297012,0.0969030969030969
Klagelied des Einzelnen,0.10489787277734433,0.1081205061401156,1000,-0.003222633362771274,0.9920079920079921
Klagelied des Volkes,0.03235988355752942,0.03330468497489352,1000,-0.0009448014173641037,0.8211788211788211
Königspsalm,0.0221077299376243,0.025253669915230377,1000,-0.0031459399776060763,1.0
Legende,0.10683588503894709,0.08300568656739579,1000,0.023830198471551295,0.26573426573426573
Liturgie,0.023388493530412894,0.02954144888397873,1000,-0.0061529553535658345,0.999000999000999
Mischgedicht,0.023756123619090908,0.03047694450424038,1000,-0.006720820885149473,0.8841158841158842
Segensspruch,0.048937273552138894,0.035934780267011246,1000,0.013002493285127648,0.022977022977022976
Segenswunsch,0.005165179889111893,0.005522703393785853,1000,-0.00035752350467395996,0.5224775224775224
Siegeslied,0.0038429097808814323,0.004294975333684662,1000,-0.0004520655528032296,0.7042957042957043
Thronbesteigungslied,0.008238774068685208,0.010221998845479693,1000,-0.001983224776794485,0.903096903096903
Tora,0.005917159763313609,0.0054760970582190096,1000,0.00044106270509459977,0.24475524475524477
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030171577519231253,0.030035942915392817,1000,0.00013563460383843665,0.3856143856143856
Zionslied,0.007196105829496712,0.010248611843048074,1000,-0.0030525060135513614,0.984015984015984
prophetische Gerichtsrede,0.0029154518950437317,0.004474546322515525,1000,-0.0015590944274717932,0.7972027972027972
prophetische Redeweise,0.011100917727714564,0.011072507715086447,1000,2.841001262811685e-05,0.3996003996003996
"prophetische Schelt-, Droh- und Mahnrede",0.006402884122369371,0.0061454843091747,1000,0.0002573998131946706,0.3086913086913087
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007430488235051495,0.007332379165906513,1000,9.810906914498128e-05,0.33266733266733267
