genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0027105542848350006,0.002509297036277731,1000,0.00020125724855726964,0.14785214785214784
Danklied des Einzelnen,0.0714544947595211,0.07009857361797353,1000,0.0013559211415475753,0.18681318681318682
Fluch,0.004657116033215239,0.004887637907424801,1000,-0.0002305218742095624,0.7302697302697303
Hymnus,0.1803882174532195,0.18227005711745353,1000,-0.0018818396642340252,0.8151848151848152
Klagelied des Einzelnen,0.14551084225181288,0.14293901519638824,1000,0.002571827055424636,0.12487512487512488
Klagelied des Volkes,0.027419748960952367,0.026737040570345285,1000,0.000682708390607082,0.13586413586413587
Königspsalm,0.02253734178868525,0.02181491364545079,1000,0.0007224281432344631,0.1028971028971029
Legende,0.005389527922304278,0.004183098498134528,1000,0.0012064294241697499,0.1108891108891109
Liturgie,0.01346030732434737,0.013215233223002982,1000,0.0002450741013443874,0.22877122877122877
Mischgedicht,0.009688012516715949,0.009298789011646245,1000,0.0003892235050697041,0.2097902097902098
Segensspruch,0.019632254642296343,0.01952889698754323,1000,0.0001033576547531112,0.4165834165834166
Segenswunsch,0.006444825897001339,0.006256416744375565,1000,0.00018840915262577362,0.16583416583416583
Siegeslied,0.003953205119499394,0.003996635194964062,1000,-4.343007546466805e-05,0.4675324675324675
Thronbesteigungslied,0.017975052186588653,0.019801747922536847,1000,-0.0018266957359481945,0.6513486513486514
Tora,1.0,0.9999166666666667,1000,8.333333333332416e-05,0.999000999000999
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02991155923373539,0.02997840554807347,1000,-6.684631433808222e-05,0.5224775224775224
Zionslied,0.005468902636844532,0.004944189909556007,1000,0.0005247127272885255,0.16083916083916083
prophetische Gerichtsrede,0.0017301038062283738,0.002163736382148606,1000,-0.0004336325759202323,0.913086913086913
prophetische Redeweise,0.012274763505595067,0.01464396031702584,1000,-0.0023691968114307738,0.8921078921078921
"prophetische Schelt-, Droh- und Mahnrede",0.01165307884713582,0.011402763528531187,1000,0.0002503153186046332,0.18281718281718282
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012546140645983804,0.011323177108030042,1000,0.001222963537953762,0.16683316683316685
