genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0035438967018326887,0.0025554429901293615,1000,0.0009884537117033272,0.003996003996003996
Danklied des Einzelnen,0.06472950402296433,0.06750330200957967,1000,-0.0027737979866153395,0.997002997002997
Fluch,0.004864385810865207,0.005195109395145258,1000,-0.0003307235842800512,0.6783216783216783
Hymnus,0.17624041434553137,0.17864296741759034,1000,-0.0024025530720589716,0.938061938061938
Klagelied des Einzelnen,0.1438527258401186,0.14503052718274898,1000,-0.0011778013426303746,0.7422577422577422
Klagelied des Volkes,0.027631181588312605,0.028274067525503134,1000,-0.0006428859371905293,0.8141858141858141
Königspsalm,0.02146027304610234,0.021331226408495177,1000,0.00012904663760716223,0.3626373626373626
Legende,0.048022951076167844,0.04523010569574814,1000,0.002792845380419705,0.48151848151848153
Liturgie,0.013757194629974512,0.015733020197126368,1000,-0.0019758255671518555,0.8161838161838162
Mischgedicht,0.008868206638329186,0.009293446827108658,1000,-0.00042524018877947156,0.6793206793206793
Segensspruch,0.018937526544894192,0.019008465147220387,1000,-7.093860232619542e-05,0.5644355644355644
Segenswunsch,0.006136887799113576,0.006181439986968936,1000,-4.4552187855359526e-05,0.4875124875124875
Siegeslied,0.0038266781691657847,0.0038841363123493125,1000,-5.745814318352778e-05,0.4935064935064935
Thronbesteigungslied,0.017920953022393372,0.0176612677207405,1000,0.0002596853016528719,0.3786213786213786
Tora,1.0,0.8832333333333333,1000,0.11676666666666669,0.6533466533466533
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028105385422382542,0.027883702672217483,1000,0.00022168275016505937,0.31868131868131866
Zionslied,0.008075443863183287,0.01083473994900661,1000,-0.0027592960858233238,0.8041958041958042
prophetische Gerichtsrede,0.0026246719160104987,0.0025123633308938224,1000,0.00011230858511667623,0.2647352647352647
prophetische Redeweise,0.017234785682471665,0.01425504506358321,1000,0.002979740618888454,0.1928071928071928
"prophetische Schelt-, Droh- und Mahnrede",0.011886394508071586,0.014785849720342104,1000,-0.0028994552122705176,0.7922077922077922
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01195777043810034,0.014272412694302605,1000,-0.0023146422562022647,0.8651348651348651
