genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004368355868611222,0.004669785649640032,1000,-0.00030142978102880996,0.9000999000999002
Danklied des Einzelnen,0.045113528824978356,0.04353084754608403,1000,0.0015826812788943267,0.16483516483516483
Fluch,0.0019120458891013384,0.0018913749491904258,1000,2.0670939910912532e-05,0.2917082917082917
Hymnus,0.13075264599733144,0.13223940808878662,1000,-0.0014867620914551793,0.8091908091908092
Klagelied des Einzelnen,0.16626454806400867,0.16264832247489092,1000,0.0036162255891177553,0.007992007992007992
Klagelied des Volkes,0.050837177051402324,0.04995244515589546,1000,0.0008847318955068628,0.22477522477522477
Königspsalm,0.031381445765217675,0.02791758371743422,1000,0.003463862047783456,0.07892107892107893
Liturgie,0.04044838519068074,0.042157365119201234,1000,-0.001708979928520496,0.8091908091908092
Mischgedicht,0.03623846660344286,0.031793591104601886,1000,0.004444875498840976,0.1018981018981019
Thronbesteigungslied,0.020523854623604468,0.05759089570667035,1000,-0.03706704108306588,0.935064935064935
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04909752003235368,0.03743728560025042,1000,0.011660234432103261,0.04395604395604396
Zionslied,0.02207593341279753,0.014899503415574514,1000,0.0071764299972230175,0.002997002997002997
prophetische Gerichtsrede,0.00558659217877095,0.007098092822768988,1000,-0.0015115006439980379,0.6573426573426573
"prophetische Schelt-, Droh- und Mahnrede",0.03297286836224086,0.01360929020003053,1000,0.019363578162210328,0.03496503496503497
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011675595295325017,0.011945431781164662,1000,-0.0002698364858396453,0.45054945054945056
