genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.014194205107842426,0.014474267784340107,1000,-0.00028006267649768185,0.2917082917082917
Danklied des Einzelnen,0.04021060339411349,0.03790357704772859,1000,0.0023070263463848967,0.025974025974025976
Fluch,0.002770083102493075,0.0029825098919079923,1000,-0.00021242678941491748,0.7912087912087912
Hymnus,0.1400845789245277,0.14186542955150697,1000,-0.0017808506269792745,0.8671328671328671
Klagelied des Einzelnen,0.189124154610618,0.19032530588974905,1000,-0.001201151279131063,0.6433566433566433
Klagelied des Volkes,0.05794160645245004,0.05853373284860705,1000,-0.0005921263961570084,0.6703296703296703
Königspsalm,0.01927363596848993,0.02058667290503071,1000,-0.001313036936540779,0.8901098901098901
Liturgie,0.04431154410025636,0.04461838175182754,1000,-0.0003068376515711832,0.5424575424575424
Mischgedicht,0.02593333289885326,0.028669643179810685,1000,-0.002736310280957426,0.8911088911088911
Thronbesteigungslied,0.043955341598401476,0.039856603780195066,1000,0.0040987378182064105,0.24275724275724275
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.034849643519840046,0.04196418748046621,1000,-0.007114543960626163,0.942057942057942
Zionslied,0.018305775607418112,0.02165995231059805,1000,-0.0033541767031799383,0.9050949050949051
prophetische Gerichtsrede,0.0030864197530864196,0.003351925830104224,1000,-0.00026550607701780445,0.8101898101898102
"prophetische Schelt-, Droh- und Mahnrede",0.01850078209714724,0.014350599263331713,1000,0.004150182833815526,0.04695304695304695
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012290209777310324,0.012397991564230947,1000,-0.00010778178692062365,0.4925074925074925
