genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009804767600443458,0.012142763761145377,1000,-0.002337996160701919,0.46053946053946054
Danklied des Einzelnen,0.044640658938316854,0.04466277579051328,1000,-2.2116852196427117e-05,0.4865134865134865
Fluch,0.0020325203252032522,0.002025515506129308,1000,7.004819073944211e-06,0.45454545454545453
Hymnus,0.1669601506854925,0.16613034904699867,1000,0.0008298016384938323,0.33766233766233766
Klagelied des Einzelnen,0.2251191263854401,0.22963789674617316,1000,-0.00451877036073306,0.9530469530469531
Klagelied des Volkes,0.07027529886332531,0.07025343899733243,1000,2.1859865992887584e-05,0.46853146853146854
Königspsalm,0.02692203943926045,0.02405892926023397,1000,0.0028631101790264797,0.08791208791208792
Liturgie,0.04119727215640345,0.03983348455819373,1000,0.001363787598209723,0.17382617382617382
Mischgedicht,0.024197503762750837,0.023820609922290594,1000,0.00037689384046024274,0.3876123876123876
Thronbesteigungslied,0.11499728959323248,0.12167893523543677,1000,-0.00668164564220429,0.5234765234765235
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02473551153087888,0.024771586393165016,1000,-3.607486228613538e-05,0.4775224775224775
Zionslied,0.018171875031652775,0.021576262994600495,1000,-0.00340438796294772,0.7752247752247752
prophetische Gerichtsrede,0.002079002079002079,0.0020921738109860176,1000,-1.3171731983938496e-05,0.5984015984015985
"prophetische Schelt-, Droh- und Mahnrede",0.03581184815853173,0.035747086996258504,1000,6.476116227322609e-05,0.46253746253746253
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.028099421072427647,0.028848707596301336,1000,-0.0007492865238736893,0.5454545454545454
