genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004352174336365472,0.00442312559660428,1000,-7.095126023880759e-05,0.5334665334665335
Danklied des Einzelnen,0.0491963436960902,0.049630270863013026,1000,-0.0004339271669228234,0.6343656343656343
Fluch,0.002386634844868735,0.002499273192450861,1000,-0.00011263834758212582,0.8081918081918081
Hymnus,0.16621438869442112,0.17373253397993557,1000,-0.007518145285514449,0.999000999000999
Klagelied des Einzelnen,0.23571053216065485,0.2278170532876144,1000,0.007893478873040455,0.008991008991008992
Klagelied des Volkes,0.0416986146554844,0.04074641972458499,1000,0.0009521949308994096,0.029970029970029972
Königspsalm,0.01496777123316526,0.014438135008121787,1000,0.0005296362250434717,0.18281718281718282
Liturgie,0.021516179540291475,0.02165214535694055,1000,-0.00013596581664907653,0.6183816183816184
Mischgedicht,0.01607301434776648,0.01646880290403317,1000,-0.00039578855626669004,0.6793206793206793
Thronbesteigungslied,0.12569519424785774,0.08275326639264322,1000,0.04294192785521453,0.04995004995004995
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01368088277965378,0.013654561394485445,1000,2.6321385168334016e-05,0.31368631368631367
Zionslied,0.015554906755540384,0.01716152062098687,1000,-0.001606613865446485,0.47152847152847155
prophetische Gerichtsrede,0.002932551319648094,0.0033091703129482673,1000,-0.00037661899330017345,0.8191808191808192
"prophetische Schelt-, Droh- und Mahnrede",0.01888927532540436,0.018019932951281292,1000,0.000869342374123068,0.13186813186813187
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.013110737215272379,0.01255853035408982,1000,0.0005522068611825588,0.06693306693306693
