genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006837558772121588,0.006479441245349356,1000,0.00035811752677223155,0.12787212787212787
Danklied des Einzelnen,0.04474046315155769,0.04519230423449479,1000,-0.00045184108293709613,0.7102897102897103
Fluch,0.001949317738791423,0.0019319112876470897,1000,1.7406451144333238e-05,0.3546453546453546
Hymnus,0.1691024758704068,0.16968198644403112,1000,-0.00057951057362432,0.6233766233766234
Klagelied des Einzelnen,0.22769876054599236,0.23136747703374244,1000,-0.003668716487750079,0.9250749250749251
Klagelied des Volkes,0.07166587882740033,0.07297451461056108,1000,-0.001308635783160747,0.8661338661338661
Königspsalm,0.01833400172574498,0.018872794389740228,1000,-0.0005387926639952474,0.7492507492507493
Liturgie,0.04551641692331808,0.04446772459498993,1000,0.0010486923283281463,0.17382617382617382
Mischgedicht,0.020415250813760794,0.02135858256836599,1000,-0.0009433317546051964,0.7312687312687313
Thronbesteigungslied,0.17649076610949482,0.15431002570134086,1000,0.02218074040815396,0.25374625374625376
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02902837788100851,0.030847151555933566,1000,-0.001818773674925056,0.8861138861138861
Zionslied,0.021343449279734663,0.023014296895484967,1000,-0.0016708476157503045,0.7832167832167832
prophetische Gerichtsrede,0.0027397260273972603,0.0026776058080697843,1000,6.212021932747603e-05,0.5694305694305695
"prophetische Schelt-, Droh- und Mahnrede",0.04497955929042944,0.04433542018596704,1000,0.000644139104462399,0.36163836163836166
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.026029965876560066,0.024662418609500067,1000,0.0013675472670599993,0.17282717282717283
