genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00854235071951034,0.008434680982299358,1000,0.0001076697372109827,0.2037962037962038
Danklied des Einzelnen,0.04080334949598617,0.04184470282667558,1000,-0.0010413533306894082,0.7772227772227772
Fluch,0.0025,0.002545472703960872,1000,-4.547270396087176e-05,0.6683316683316683
Hymnus,0.11719175636957596,0.11769425824772844,1000,-0.0005025018781524837,0.6863136863136863
Klagelied des Einzelnen,0.19011245954657136,0.18939323338054742,1000,0.0007192261660239341,0.39760239760239763
Klagelied des Volkes,0.04650539172059848,0.04478022090075617,1000,0.0017251708198423102,0.04395604395604396
Königspsalm,0.03542884480894271,0.03634885062982774,1000,-0.0009200058208850281,0.4785214785214785
Liturgie,0.02924528303299338,0.031803181961216107,1000,-0.0025578989282227273,1.0
Mischgedicht,0.031650498689305986,0.03191422553698894,1000,-0.00026372684768295046,0.4675324675324675
Thronbesteigungslied,0.018125331063831573,0.020786823022888163,1000,-0.0026614919590565896,0.4745254745254745
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.048352044061540506,0.03577894454942008,1000,0.012573099512120427,0.06593406593406594
Zionslied,0.02083029326079255,0.015044135279931887,1000,0.005786157980860664,0.025974025974025976
prophetische Gerichtsrede,0.0031847133757961785,0.00291059738111504,1000,0.00027411599468113836,0.08391608391608392
"prophetische Schelt-, Droh- und Mahnrede",0.008692231057123414,0.010731604389619972,1000,-0.0020393733324965586,0.8631368631368631
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011752650952817929,0.010899513774853868,1000,0.0008531371779640605,0.16183816183816183
