genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004264951662287331,0.0040085578120976646,1000,0.00025639385018966666,0.13386613386613386
Danklied des Einzelnen,0.04620015636580923,0.047998111650324846,1000,-0.0017979552845156163,0.8781218781218781
Fluch,0.0044444444444444444,0.004882174870159912,1000,-0.000437730425715468,0.6053946053946054
Hymnus,0.1574465504041203,0.16067796036531212,1000,-0.0032314099611918112,0.9140859140859141
Klagelied des Einzelnen,0.23574621383614866,0.22983114828024068,1000,0.0059150655559079834,0.17182817182817184
Klagelied des Volkes,0.053458854448552445,0.05226581506808589,1000,0.001193039380466554,0.3336663336663337
Königspsalm,0.01491001765187307,0.01672249477130879,1000,-0.001812477119435718,0.8311688311688312
Liturgie,0.024395589220360354,0.02373541365409331,1000,0.0006601755662670426,0.23176823176823177
Mischgedicht,0.017459960790118936,0.01768457240388851,1000,-0.00022461161376957292,0.44155844155844154
Thronbesteigungslied,0.07681825493460075,0.06283060022732222,1000,0.01398765470727853,0.026973026973026972
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.016635817764343842,0.0188505796435794,1000,-0.0022147618792355585,0.7912087912087912
Zionslied,0.015205813906394,0.0164178383530892,1000,-0.0012120244466952007,0.5434565434565435
prophetische Gerichtsrede,0.003125,0.0036889866488246273,1000,-0.0005639866488246271,0.5664335664335665
"prophetische Schelt-, Droh- und Mahnrede",0.024088798660378385,0.025095775438440722,1000,-0.0010069767780623365,0.44455544455544455
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.016463453588329326,0.017591187272580147,1000,-0.0011277336842508215,0.4875124875124875
