genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007851898961731567,0.005925648588369273,1000,0.0019262503733622942,0.055944055944055944
Danklied des Einzelnen,0.04141946245351957,0.040316394083708164,1000,0.0011030683698114094,0.26873126873126874
Fluch,0.002457002457002457,0.002445761481871984,1000,1.1240975130472931e-05,0.4805194805194805
Hymnus,0.1597124791262696,0.1566338498615507,1000,0.003078629264718885,0.13986013986013987
Klagelied des Einzelnen,0.17907304508572883,0.17380115930117887,1000,0.005271885784549957,0.04595404595404595
Klagelied des Volkes,0.046551587703580255,0.046010222826020436,1000,0.000541364877559819,0.2787212787212787
Königspsalm,0.026359397548015053,0.027469058428768876,1000,-0.0011096608807538225,0.6113886113886113
Liturgie,0.03201109151879447,0.03440512113159194,1000,-0.0023940296127974714,0.9760239760239761
Mischgedicht,0.023884317060621413,0.02178013509740336,1000,0.002104181963218054,0.09090909090909091
Thronbesteigungslied,0.024254994739812265,0.016528183760085646,1000,0.00772681097972662,0.03696303696303696
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.032799823872949205,0.040068009328300264,1000,-0.007268185455351059,0.8701298701298701
Zionslied,0.020900979927888103,0.016106125660990782,1000,0.004794854266897321,0.06693306693306693
prophetische Gerichtsrede,0.006329113924050633,0.011865321257964325,1000,-0.005536207333913692,0.8021978021978022
"prophetische Schelt-, Droh- und Mahnrede",0.011673949210818107,0.011223296231904413,1000,0.0004506529789136942,0.2837162837162837
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.009771210136250418,0.010443908812877536,1000,-0.0006726986766271183,0.7482517482517482
