genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0046270667812995025,0.005373030606324514,1000,-0.0007459638250250115,0.972027972027972
Danklied des Einzelnen,0.04110212864084142,0.041323047501383825,1000,-0.00022091886054240173,0.5364635364635365
Fluch,0.0024752475247524753,0.002516098299461498,1000,-4.085077470902289e-05,0.6453546453546454
Hymnus,0.11423015269540807,0.11602789090342115,1000,-0.001797738208013086,0.9760239760239761
Klagelied des Einzelnen,0.18687892673779294,0.1845686895434939,1000,0.002310237194299042,0.16783216783216784
Klagelied des Volkes,0.04625315017414823,0.044479300065763616,1000,0.0017738501083846142,0.004995004995004995
Königspsalm,0.03612917943556415,0.03731116855544273,1000,-0.0011819891198785806,0.5644355644355644
Liturgie,0.030800531709342806,0.034037072704760314,1000,-0.0032365409954175084,1.0
Mischgedicht,0.037543383862424916,0.03631821854860189,1000,0.0012251653138230234,0.32167832167832167
Thronbesteigungslied,0.017076477668493347,0.01781928495906597,1000,-0.0007428072905726231,0.3856143856143856
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.033785354030216534,0.03708748844754029,1000,-0.003302134417323757,0.7132867132867133
Zionslied,0.017899534126902223,0.014465375508617971,1000,0.0034341586182842516,0.07392607392607392
prophetische Gerichtsrede,0.0034965034965034965,0.003192242254647781,1000,0.0003042612418557157,0.15684315684315683
"prophetische Schelt-, Droh- und Mahnrede",0.009783286373789411,0.011144770371106259,1000,-0.0013614839973168473,0.45554445554445555
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010317792071681604,0.009682649363387147,1000,0.0006351427082944578,0.0919080919080919
