genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008809088222950276,0.009191432707271512,1000,-0.00038234448432123563,0.34265734265734266
Danklied des Einzelnen,0.03961073670313496,0.0391692123612477,1000,0.00044152434188726025,0.3176823176823177
Fluch,0.002188183807439825,0.00251064398566069,1000,-0.00032246017822086526,0.8031968031968032
Hymnus,0.17089387347478313,0.16395997649292446,1000,0.006933896981858673,0.02097902097902098
Klagelied des Einzelnen,0.17333581601798398,0.17198693404378293,1000,0.0013488819742010494,0.2647352647352647
Klagelied des Volkes,0.04933186191558003,0.04997772533526129,1000,-0.0006458634196812585,0.6523476523476524
Königspsalm,0.02987683762579479,0.023374509970160617,1000,0.006502327655634174,0.03596403596403597
Liturgie,0.037467496341869425,0.03600431352817627,1000,0.001463182813693155,0.16083916083916083
Mischgedicht,0.020831613010088502,0.02354143566653714,1000,-0.002709822656448639,0.938061938061938
Thronbesteigungslied,0.03823020623097711,0.027186096454979804,1000,0.011044109775997304,0.1068931068931069
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.031435702363777,0.03420307605211724,1000,-0.0027673736883402425,0.7952047952047953
Zionslied,0.04098351976344141,0.03278595175800815,1000,0.00819756800543326,0.12087912087912088
prophetische Gerichtsrede,0.012658227848101266,0.006624565271813264,1000,0.006033662576288001,0.02097902097902098
"prophetische Schelt-, Droh- und Mahnrede",0.01159879928077905,0.009635414248357774,1000,0.0019633850324212755,0.08791208791208792
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.009402869714240472,0.009781154682287746,1000,-0.00037828496804727385,0.7942057942057942
