genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005485247986480405,0.005038836769054213,1000,0.0004464112174261915,0.17082917082917082
Danklied des Einzelnen,0.05207474863876501,0.05020342205823813,1000,0.001871326580526883,0.08791208791208792
Fluch,0.002386634844868735,0.0025017197347607175,1000,-0.00011508488989198226,0.8191808191808192
Hymnus,0.17094649147647037,0.169872247091582,1000,0.0010742443848883731,0.3876123876123876
Klagelied des Einzelnen,0.24496140483534556,0.2539289044058569,1000,-0.00896749957051135,0.9760239760239761
Klagelied des Volkes,0.050475613028032246,0.048766738061162426,1000,0.0017088749668698194,0.16183816183816183
Königspsalm,0.020339731147911704,0.021820299722379033,1000,-0.0014805685744673294,0.4065934065934066
Liturgie,0.02434323119920977,0.024175312793484997,1000,0.00016791840572477276,0.36163836163836166
Mischgedicht,0.020991884174853447,0.02446212247514106,1000,-0.0034702383002876147,0.913086913086913
Thronbesteigungslied,0.0625733231465083,0.06333282722803688,1000,-0.0007595040815285697,0.5924075924075924
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02596143411393888,0.021651385283885077,1000,0.004310048830053804,0.11888111888111888
Zionslied,0.009812889162638786,0.007951355457077099,1000,0.0018615337055616875,0.03296703296703297
prophetische Gerichtsrede,0.0020161290322580645,0.0017849362422181255,1000,0.00023119279003993892,0.12487512487512488
"prophetische Schelt-, Droh- und Mahnrede",0.02830005616726229,0.022184517990833208,1000,0.006115538176429083,0.09490509490509491
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01777956424416624,0.017915675983045783,1000,-0.00013611173887954214,0.35564435564435565
