genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004338895675767752,0.005748965359365373,1000,-0.0014100696835976211,0.971028971028971
Danklied des Einzelnen,0.05136280627044865,0.051427424273785174,1000,-6.46180033365279e-05,0.5204795204795205
Fluch,0.0026666666666666666,0.0025033841037214438,1000,0.00016328256294522283,0.16783216783216784
Hymnus,0.18172894851178167,0.18142475704993757,1000,0.00030419146184409995,0.46353646353646355
Klagelied des Einzelnen,0.21978164290053645,0.22288888780047478,1000,-0.0031072448999383273,0.7972027972027972
Klagelied des Volkes,0.03991327313588765,0.03993614679231883,1000,-2.287365643117989e-05,0.4355644355644356
Königspsalm,0.020805441469846007,0.015729206524262695,1000,0.005076234945583312,0.04995004995004995
Liturgie,0.021237556941835177,0.021574324750052568,1000,-0.00033676780821739055,0.7252747252747253
Mischgedicht,0.019107190191334514,0.018073673054953325,1000,0.0010335171363811888,0.18681318681318682
Thronbesteigungslied,0.10798015247882954,0.06305086192228293,1000,0.04492929055654661,0.01098901098901099
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.015478898327597659,0.01862691038995076,1000,-0.0031480120623531005,0.9530469530469531
Zionslied,0.008336665866706384,0.008582933644396693,1000,-0.0002462677776903094,0.2907092907092907
prophetische Gerichtsrede,0.002150537634408602,0.0020278762782635594,1000,0.00012266135614504275,0.07892107892107893
"prophetische Schelt-, Droh- und Mahnrede",0.024273653550825242,0.0214200307146611,1000,0.0028536228361641415,0.1068931068931069
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.0157674317745512,0.015136577949959294,1000,0.0006308538245919058,0.3036963036963037
