genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009003156072404475,0.00970001036673566,1000,-0.0006968542943311846,0.26873126873126874
Danklied des Einzelnen,0.041443992407389295,0.038479759244044884,1000,0.002964233163344411,0.005994005994005994
Fluch,0.002570694087403599,0.002552850242041723,1000,1.784384536187558e-05,0.47052947052947053
Hymnus,0.13947049883999907,0.14215097235499116,1000,-0.0026804735149920933,0.9150849150849151
Klagelied des Einzelnen,0.18173220732351797,0.18239197204934368,1000,-0.0006597647258257122,0.5744255744255744
Klagelied des Volkes,0.05737139976664662,0.05801746869569596,1000,-0.000646068929049344,0.6343656343656343
Königspsalm,0.022331222487323298,0.022284101212360918,1000,4.7121274962379917e-05,0.47652347652347654
Liturgie,0.04201577561015314,0.040557048897024175,1000,0.001458726713128966,0.12887112887112886
Mischgedicht,0.029104879501937145,0.03293834680448248,1000,-0.003833467302545336,0.8341658341658341
Thronbesteigungslied,0.04534949595287534,0.03943319667458731,1000,0.005916299278288024,0.1978021978021978
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03583414373738859,0.04056939663414838,1000,-0.004735252896759794,0.7162837162837162
Zionslied,0.014392552005559441,0.015256165079584187,1000,-0.0008636130740247456,0.7472527472527473
prophetische Gerichtsrede,0.002890173410404624,0.0029314845834097,1000,-4.1311173005076016e-05,0.5524475524475524
"prophetische Schelt-, Droh- und Mahnrede",0.018625612269490624,0.01294027456561951,1000,0.0056853377038711145,0.016983016983016984
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010678268020597641,0.011103167071805193,1000,-0.0004248990512075515,0.8221778221778222
