genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005510528955772139,0.006483825363639661,1000,-0.0009732964078675221,0.5144855144855145
Danklied des Einzelnen,0.037312901845528615,0.03924179358828345,1000,-0.0019288917427548319,0.9300699300699301
Fluch,0.0019083969465648854,0.0019492577785856745,1000,-4.0860832020789056e-05,0.5964035964035964
Hymnus,0.11718566354209076,0.11627077814778526,1000,0.0009148853943054952,0.21678321678321677
Klagelied des Einzelnen,0.20516011468527562,0.20076798226717285,1000,0.004392132418102768,0.14385614385614387
Klagelied des Volkes,0.051268818090935836,0.05030042952346562,1000,0.0009683885674702172,0.2727272727272727
Königspsalm,0.019446376889095403,0.02375637720628483,1000,-0.004310000317189429,0.98001998001998
Liturgie,0.04309691842336885,0.04376349586823462,1000,-0.0006665774448657708,0.5504495504495505
Mischgedicht,0.02998198854833729,0.029542361705871607,1000,0.00043962684246568254,0.36663336663336665
Thronbesteigungslied,0.01984939272752038,0.017439589139615727,1000,0.002409803587904654,0.1918081918081918
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030563727347928768,0.031125944744369777,1000,-0.0005622173964410088,0.44755244755244755
Zionslied,0.017055363859030663,0.016961848672657178,1000,9.351518637348497e-05,0.37462537462537465
prophetische Gerichtsrede,0.0049261083743842365,0.008558512012065101,1000,-0.003632403637680865,0.8071928071928072
"prophetische Schelt-, Droh- und Mahnrede",0.010249168363195251,0.009260347387034634,1000,0.0009888209761606172,0.12087912087912088
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010647769369680298,0.011286118989766678,1000,-0.0006383496200863797,0.6463536463536463
