genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00558523576215109,0.006215803732198104,1000,-0.0006305679700470143,0.6133866133866134
Danklied des Einzelnen,0.03686480318649085,0.03884076368656648,1000,-0.0019759605000756256,0.939060939060939
Fluch,0.0018975332068311196,0.0019016558320588874,1000,-4.122625227767846e-06,0.4385614385614386
Hymnus,0.12094083214527881,0.11973104525470364,1000,0.0012097868905751735,0.21178821178821178
Klagelied des Einzelnen,0.21286138593009934,0.2090700333249287,1000,0.0037913526051706337,0.2007992007992008
Klagelied des Volkes,0.05266425204952489,0.05025172755029958,1000,0.002412524499225313,0.07792207792207792
Königspsalm,0.0200836036660237,0.023120887598839773,1000,-0.0030372839328160726,0.8701298701298701
Liturgie,0.04038063546949398,0.043387138626560004,1000,-0.0030065031570660206,0.8341658341658341
Mischgedicht,0.025034317946439105,0.025021953324157666,1000,1.2364622281439003e-05,0.4175824175824176
Thronbesteigungslied,0.018416302024695404,0.019135656584355346,1000,-0.0007193545596599418,0.36363636363636365
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.047304555357486636,0.029701337358890585,1000,0.01760321799859605,0.015984015984015984
Zionslied,0.01765772433693189,0.020082110381964145,1000,-0.0024243860450322563,0.46353646353646355
prophetische Gerichtsrede,0.0049504950495049506,0.008459232647402174,1000,-0.0035087375978972235,0.8681318681318682
"prophetische Schelt-, Droh- und Mahnrede",0.009802648530730117,0.009442595662702617,1000,0.00036005286802750017,0.25674325674325676
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011079407187141236,0.01194118370293205,1000,-0.0008617765157908144,0.6913086913086913
