genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005870537632281866,0.005587637568979759,1000,0.00028290006330210747,0.3046953046953047
Danklied des Einzelnen,0.0461038497940003,0.048135897395619257,1000,-0.002032047601618958,0.9250749250749251
Fluch,0.0051813471502590676,0.005018589766696696,1000,0.00016275738356237145,0.46053946053946054
Hymnus,0.1684659017606859,0.16956760900899961,1000,-0.0011017072483137103,0.6563436563436563
Klagelied des Einzelnen,0.21486898664514728,0.2118090520437914,1000,0.003059934601355868,0.1888111888111888
Klagelied des Volkes,0.056563118348503624,0.057129382688920885,1000,-0.0005662643404172607,0.5814185814185814
Königspsalm,0.020634364578750293,0.015010899362240641,1000,0.005623465216509652,0.004995004995004995
Liturgie,0.029190158615737254,0.02672301357267714,1000,0.002467145043060115,0.04795204795204795
Mischgedicht,0.014548147293225941,0.01596073588862503,1000,-0.0014125885953990905,0.8911088911088911
Thronbesteigungslied,0.13646734430277901,0.10260807322610807,1000,0.033859271076670944,0.11788211788211789
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.024937859550830214,0.02496855966772433,1000,-3.0700116894114005e-05,0.4565434565434565
Zionslied,0.03925278904769412,0.026699618037131743,1000,0.01255317101056238,0.05094905094905095
prophetische Gerichtsrede,0.00510204081632653,0.003537582751877535,1000,0.001564458064448995,0.015984015984015984
"prophetische Schelt-, Droh- und Mahnrede",0.03013354706964953,0.02669685486015662,1000,0.0034366922094929107,0.25574425574425574
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.016785421681449468,0.015510395950443347,1000,0.001275025731006121,0.1838161838161838
