genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009530006694360703,0.010694061088217863,1000,-0.0011640543938571599,0.2887112887112887
Danklied des Einzelnen,0.037667834310126394,0.03630642529974351,1000,0.001361409010382883,0.03496503496503497
Fluch,0.0030211480362537764,0.0032419055598698018,1000,-0.00022075752361602535,0.7442557442557443
Hymnus,0.13541308544788572,0.13650534671734846,1000,-0.001092261269462741,0.7392607392607392
Klagelied des Einzelnen,0.18138506462048987,0.18154675744843823,1000,-0.0001616928279483676,0.4995004995004995
Klagelied des Volkes,0.059581281782499815,0.05880629888452065,1000,0.0007749828979791637,0.25874125874125875
Königspsalm,0.020012880098497627,0.021189869989923366,1000,-0.0011769898914257386,0.8231768231768232
Liturgie,0.043853661591786434,0.04352086804371675,1000,0.00033279354806968475,0.3786213786213786
Mischgedicht,0.026594176858504202,0.030175981157649762,1000,-0.00358180429914556,0.955044955044955
Thronbesteigungslied,0.052565181883217085,0.04219895886801936,1000,0.010366223015197726,0.14485514485514486
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03709791447942932,0.04246756864938738,1000,-0.005369654169958063,0.7682317682317682
Zionslied,0.018278524535708433,0.019687953057433,1000,-0.001409428521724567,0.7482517482517482
prophetische Gerichtsrede,0.003205128205128205,0.003267910486278222,1000,-6.278228115001684e-05,0.5514485514485514
"prophetische Schelt-, Droh- und Mahnrede",0.019054189503370032,0.013971838824242288,1000,0.005082350679127745,0.029970029970029972
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012046443406621725,0.012604943103890293,1000,-0.000558499697268568,0.6063936063936064
