genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0037551241032157843,0.004117924477997754,1000,-0.0003628003747819693,0.8611388611388612
Danklied des Einzelnen,0.051400712522254394,0.04993603093904096,1000,0.0014646815832134313,0.17282717282717283
Fluch,0.004,0.0036282376882110544,1000,0.00037176231178894566,0.25074925074925075
Hymnus,0.170405725834548,0.17307819380390355,1000,-0.002672467969355552,0.8811188811188811
Klagelied des Einzelnen,0.21683439557735962,0.20707546823847633,1000,0.009758927338883283,0.001998001998001998
Klagelied des Volkes,0.050028575726189316,0.04950924204226497,1000,0.0005193336839243445,0.3676323676323676
Königspsalm,0.020306969211815636,0.017549144086143734,1000,0.002757825125671902,0.05094905094905095
Liturgie,0.025487003212495876,0.025777827488727475,1000,-0.00029082427623159865,0.5804195804195804
Mischgedicht,0.019453752574396185,0.021471636863487006,1000,-0.0020178842890908218,0.7892107892107892
Thronbesteigungslied,0.06908387271692489,0.06876235249327993,1000,0.00032152022364495547,0.2077922077922078
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030941181299105745,0.02264369818053132,1000,0.008297483118574426,0.011988011988011988
Zionslied,0.010679649619114422,0.009792238562022711,1000,0.000887411057091711,0.24275724275724275
prophetische Gerichtsrede,0.003355704697986577,0.003526837144804841,1000,-0.00017113244681826387,0.4165834165834166
"prophetische Schelt-, Droh- und Mahnrede",0.03155424709964187,0.026294814424936502,1000,0.005259432674705369,0.18281718281718282
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01580242076996127,0.015200595979546693,1000,0.0006018247904145766,0.26073926073926074
