genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006520727846660164,0.005584950399755234,1000,0.0009357774469049302,0.10789210789210789
Danklied des Einzelnen,0.04010493609994793,0.03980837695031707,1000,0.00029655914963086505,0.3016983016983017
Fluch,0.0025,0.0024357571527356633,1000,6.424284726433676e-05,0.34665334665334663
Hymnus,0.12417362504260293,0.12672305799148786,1000,-0.002549432948884933,1.0
Klagelied des Einzelnen,0.19485175361576668,0.18635216935486426,1000,0.008499584260902415,0.000999000999000999
Klagelied des Volkes,0.04604954432845451,0.04557536484103976,1000,0.0004741794874147526,0.21578421578421578
Königspsalm,0.029177657542755496,0.02973299983339361,1000,-0.0005553422906381146,0.5844155844155844
Liturgie,0.03486186167438804,0.03505517739691191,1000,-0.00019331572252387352,0.5794205794205795
Mischgedicht,0.0427249269263606,0.04105352868043205,1000,0.0016713982459285529,0.2677322677322677
Thronbesteigungslied,0.01745812697598026,0.017333327518050622,1000,0.000124799457929637,0.3806193806193806
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.024874224790163792,0.024299748943461937,1000,0.0005744758467018558,0.2707292707292707
Zionslied,0.014293581309652553,0.025117978252936036,1000,-0.010824396943283483,0.988011988011988
prophetische Gerichtsrede,0.006666666666666667,0.006442866205188594,1000,0.00022380046147807333,0.4205794205794206
"prophetische Schelt-, Droh- und Mahnrede",0.03297297227395199,0.009014164052129283,1000,0.023958808221822704,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008484852213421998,0.009070455519653454,1000,-0.0005856033062314556,0.995004995004995
