genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004273274548873226,0.0041321492523834795,1000,0.00014112529648974657,0.2727272727272727
Danklied des Einzelnen,0.046850662046090286,0.050081161766350336,1000,-0.0032304997202600508,0.994005994005994
Fluch,0.004366812227074236,0.0038953205320050844,1000,0.0004714916950691512,0.2597402597402597
Hymnus,0.16646263734584454,0.16512477324196634,1000,0.0013378641038782058,0.2997002997002997
Klagelied des Einzelnen,0.21908413625953138,0.2153692070756146,1000,0.0037149291839167764,0.11988011988011989
Klagelied des Volkes,0.04822479994154688,0.04657324076371489,1000,0.001651559177831989,0.15284715284715283
Königspsalm,0.02460998283271661,0.02619752803392579,1000,-0.0015875452012091805,0.5874125874125874
Liturgie,0.03274095586471075,0.030131244839377316,1000,0.002609711025333434,0.04895104895104895
Mischgedicht,0.013526810779875744,0.013939609050316121,1000,-0.00041279827044037737,0.8211788211788211
Thronbesteigungslied,0.11148715698319504,0.08537155741749677,1000,0.02611559956569827,0.027972027972027972
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.015467504815986596,0.01590718002173522,1000,-0.0004396752057486252,0.7412587412587412
Zionslied,0.023176720262888004,0.02790912358331637,1000,-0.004732403320428364,0.7652347652347652
prophetische Gerichtsrede,0.009259259259259259,0.006006040873990996,1000,0.003253218385268263,0.05194805194805195
"prophetische Schelt-, Droh- und Mahnrede",0.03310775283455684,0.039891236691303705,1000,-0.006783483856746868,0.7382617382617382
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.026930549622533363,0.021858998547087047,1000,0.005071551075446316,0.06793206793206794
