genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008476089310304144,0.01129291777325922,1000,-0.0028168284629550757,0.5744255744255744
Danklied des Einzelnen,0.04608178579331185,0.045097718132564225,1000,0.0009840676607476215,0.13086913086913088
Fluch,0.0021008403361344537,0.0020518274464457606,1000,4.901288968869313e-05,0.2177822177822178
Hymnus,0.1655996117820761,0.16781648175828792,1000,-0.002216869976211816,0.9010989010989011
Klagelied des Einzelnen,0.22188017137087432,0.22556076732669908,1000,-0.0036805959558247614,0.8661338661338661
Klagelied des Volkes,0.07005627662690703,0.0693014539352504,1000,0.0007548226916566231,0.3116883116883117
Königspsalm,0.023989979174806438,0.022408040545645342,1000,0.0015819386291610962,0.16583416583416583
Liturgie,0.04010893218323707,0.03899164037165231,1000,0.001117291811584764,0.23276723276723277
Mischgedicht,0.02546337954221925,0.02373973663700312,1000,0.0017236429052161287,0.22277722277722278
Thronbesteigungslied,0.11677289296597884,0.11859813040378578,1000,-0.001825237437806937,0.42357642357642356
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.025772802266948856,0.025710842967805896,1000,6.195929914296072e-05,0.44955044955044954
Zionslied,0.01894772927286999,0.026200757607947822,1000,-0.007253028335077832,0.8381618381618382
prophetische Gerichtsrede,0.0021008403361344537,0.002106756945437613,1000,-5.916609303159483e-06,0.4945054945054945
"prophetische Schelt-, Droh- und Mahnrede",0.03922116636959729,0.03494656786241086,1000,0.004274598507186429,0.21478521478521478
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.026560935186974,0.026990130894218096,1000,-0.0004291957072440969,0.48951048951048953
