genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004355634737756267,0.004101230765372121,1000,0.00025440397238414656,0.18681318681318682
Danklied des Einzelnen,0.04739037626700639,0.050354004882413136,1000,-0.0029636286154067493,0.9600399600399601
Fluch,0.003968253968253968,0.0040998205847760285,1000,-0.00013156661652206046,0.4515484515484515
Hymnus,0.1643082033231668,0.16843343254006674,1000,-0.004125229216899923,0.938061938061938
Klagelied des Einzelnen,0.22034085517233357,0.2150605768285634,1000,0.005280278343770178,0.08091908091908091
Klagelied des Volkes,0.0485666224937686,0.04754703216887479,1000,0.001019590324893807,0.3006993006993007
Königspsalm,0.02278752467711323,0.023196636486441505,1000,-0.00040911180932827473,0.45754245754245754
Liturgie,0.030375237681289812,0.028855391977034465,1000,0.0015198457042553473,0.17682317682317683
Mischgedicht,0.013878601360646694,0.014210400049311933,1000,-0.0003317986886652389,0.7012987012987013
Thronbesteigungslied,0.09556345871957699,0.07797520233608131,1000,0.017588256383495676,0.11488511488511488
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.015635084231905842,0.016112355894197558,1000,-0.00047727166229171586,0.6513486513486514
Zionslied,0.028823334461932665,0.026607341927121112,1000,0.0022159925348115526,0.3106893106893107
prophetische Gerichtsrede,0.005050505050505051,0.0049330686044199885,1000,0.0001174364460850624,0.3356643356643357
"prophetische Schelt-, Droh- und Mahnrede",0.03923653880880713,0.03327961635962647,1000,0.005956922449180654,0.23676323676323677
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.02496037123016251,0.021710607215083427,1000,0.0032497640150790826,0.15284715284715283
