genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.011155925002005154,0.013872240825168478,1000,-0.0027163158231633244,0.26973026973026976
Danklied des Einzelnen,0.03927015950346579,0.0377244313760865,1000,0.0015457281273792908,0.04495504495504495
Fluch,0.0029585798816568047,0.0030236077500415117,1000,-6.502786838470708e-05,0.47652347652347654
Hymnus,0.1356811291902121,0.136780517891265,1000,-0.001099388701052889,0.7632367632367633
Klagelied des Einzelnen,0.1999397631627493,0.2002599443456004,1000,-0.0003201811828510981,0.5154845154845155
Klagelied des Volkes,0.0644570368052598,0.06337365410648506,1000,0.0010833826987747402,0.2127872127872128
Königspsalm,0.02171382775001702,0.022943543130360584,1000,-0.001229715380343565,0.8001998001998002
Liturgie,0.04572147989360771,0.04586768793079862,1000,-0.0001462080371909119,0.5474525474525475
Mischgedicht,0.025898569747493556,0.02751282840921003,1000,-0.0016142586617164736,0.8211788211788211
Thronbesteigungslied,0.0500955479861523,0.045438486810967016,1000,0.004657061175185287,0.25774225774225773
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04236021417325911,0.0499114964977137,1000,-0.007551282324454595,0.7152847152847153
Zionslied,0.01601919413763387,0.017564293436336354,1000,-0.001545099298702484,0.9040959040959041
prophetische Gerichtsrede,0.0031446540880503146,0.0031916635420695216,1000,-4.700945401920698e-05,0.5444555444555444
"prophetische Schelt-, Droh- und Mahnrede",0.016349053859305945,0.015616944676400383,1000,0.0007321091829055621,0.3306693306693307
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011686883465398068,0.012177107526671272,1000,-0.0004902240612732044,0.7302697302697303
