genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.015083961903689045,0.01611884215640673,1000,-0.0010348802527176838,0.7202797202797203
Danklied des Einzelnen,0.04195420919735378,0.041586078001058215,1000,0.00036813119629556385,0.3836163836163836
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08666184324833953,0.08577229689112432,1000,0.0008895463572152068,0.1878121878121878
Klagelied des Einzelnen,0.17156233120190345,0.17422695738727664,1000,-0.0026646261853731923,0.8371628371628371
Klagelied des Volkes,0.03499242176611337,0.03346771993992983,1000,0.0015247018261835416,0.2177822177822178
Königspsalm,0.065217478061968,0.05167801076473509,1000,0.013539467297232904,0.000999000999000999
Liturgie,0.05230915357575479,0.05228041546117895,1000,2.8738114575835305e-05,0.46553446553446554
Mischgedicht,0.03441611173474922,0.03497657462781814,1000,-0.000560462893068922,0.6233766233766234
Thronbesteigungslied,0.014795782496133317,0.014034733377413297,1000,0.0007610491187200197,0.13486513486513488
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.024966840313731885,0.025232190495600746,1000,-0.00026535018186886125,0.7292707292707292
Zionslied,0.018278665496712095,0.019620055682326085,1000,-0.0013413901856139908,0.7402597402597403
prophetische Gerichtsrede,0.007874015748031496,0.007596041195794098,1000,0.0002779745522373976,0.37662337662337664
"prophetische Schelt-, Droh- und Mahnrede",0.018277324410421833,0.011502493376723717,1000,0.006774831033698116,0.08091908091908091
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
