genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007025948110677515,0.007098833924820666,1000,-7.28858141431513e-05,0.3986013986013986
Danklied des Einzelnen,0.05535264506670738,0.05807594765423746,1000,-0.002723302587530077,0.972027972027972
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08022734520522709,0.08214445481669198,1000,-0.0019171096114648928,0.999000999000999
Klagelied des Einzelnen,0.20598567950317784,0.19456499552003623,1000,0.01142068398314161,0.000999000999000999
Klagelied des Volkes,0.028045343994055935,0.029871459618773664,1000,-0.0018261156247177286,0.98001998001998
Königspsalm,0.03052817782586804,0.031366588686602234,1000,-0.0008384108607341935,0.8561438561438561
Liturgie,0.04632835030629617,0.045435924719577955,1000,0.0008924255867182179,0.1088911088911089
Mischgedicht,0.04284449316901211,0.042224770649775895,1000,0.0006197225192362127,0.3106893106893107
Thronbesteigungslied,0.015799221338619916,0.014116895452554923,1000,0.0016823258860649924,0.004995004995004995
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.032838991027367495,0.03501859042386037,1000,-0.0021795993964928775,0.985014985014985
Zionslied,0.01805035756002491,0.017169736041425514,1000,0.0008806215185993976,0.14585414585414586
prophetische Gerichtsrede,0.008928571428571428,0.00873481667022383,1000,0.00019375475834759737,0.4435564435564436
"prophetische Schelt-, Droh- und Mahnrede",0.1709520437253727,0.12063023710096629,1000,0.05032180662440641,0.11188811188811189
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
