genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.023688273791594515,0.017173475030313516,1000,0.006514798761280999,0.17882117882117882
Danklied des Einzelnen,0.04402015695405289,0.048185035469621156,1000,-0.0041648785155682655,0.7452547452547452
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.0937366939725435,0.10909087118239069,1000,-0.015354177209847192,1.0
Klagelied des Einzelnen,0.1444893340825814,0.15105838164995636,1000,-0.006569047567374947,0.957042957042957
Klagelied des Volkes,0.032849310889055905,0.028248388105899892,1000,0.004600922783156013,0.12287712287712288
Königspsalm,0.02910604084584438,0.03390375929921815,1000,-0.0047977184533737685,0.952047952047952
Liturgie,0.05172740735628181,0.05184181311513953,1000,-0.0001144057588577177,0.45254745254745254
Mischgedicht,0.037257588357155834,0.032071146305932455,1000,0.005186442051223379,0.12787212787212787
Thronbesteigungslied,0.013116187311674571,0.017197463551810743,1000,-0.004081276240136171,0.964035964035964
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.023864642986880895,0.022811700611382317,1000,0.0010529423754985778,0.2077922077922078
Zionslied,0.013625486724066273,0.013533893080486515,1000,9.159364357975812e-05,0.26873126873126874
prophetische Gerichtsrede,0.017543859649122806,0.017069386770203903,1000,0.000474472878918903,0.18681318681318682
"prophetische Schelt-, Droh- und Mahnrede",0.01692251461988304,0.03187949651624606,1000,-0.01495698189636302,0.7542457542457542
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
