genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007643058672736128,0.007332511211904343,1000,0.0003105474608317855,0.12087912087912088
Danklied des Einzelnen,0.052447522473297106,0.0559518617683243,1000,-0.0035043392950271923,0.974025974025974
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08889576725085856,0.09092106603396703,1000,-0.0020252987831084757,0.973026973026973
Klagelied des Einzelnen,0.20045334913498383,0.19062816601713475,1000,0.009825183117849079,0.000999000999000999
Klagelied des Volkes,0.025596450746534254,0.028586236638746876,1000,-0.0029897858922126215,0.994005994005994
Königspsalm,0.02922249543016386,0.031055049749053328,1000,-0.001832554318889467,0.957042957042957
Liturgie,0.04540867885297373,0.044706423621779325,1000,0.0007022552311944028,0.14385614385614387
Mischgedicht,0.03680869295765027,0.037108828446190664,1000,-0.0003001354885403956,0.6073926073926074
Thronbesteigungslied,0.0525585803562363,0.021061591669533267,1000,0.03149698868670303,0.000999000999000999
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028737999080973547,0.030163581149464037,1000,-0.0014255820684904892,0.9430569430569431
Zionslied,0.022918472047935998,0.02359522083844561,1000,-0.000676748790509614,0.5584415584415584
prophetische Gerichtsrede,0.009615384615384616,0.008524794832887678,1000,0.0010905897824969382,0.18281718281718282
"prophetische Schelt-, Droh- und Mahnrede",0.17160194174757282,0.01943139630093804,1000,0.15217054544663478,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
