genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.014364322398369732,0.012592026045870511,1000,0.0017722963524992204,0.19480519480519481
Danklied des Einzelnen,0.04142216418775797,0.04357079847055921,1000,-0.0021486342828012372,0.5974025974025974
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09451003123447403,0.10572109723702125,1000,-0.011211066002547218,0.993006993006993
Klagelied des Einzelnen,0.13985062248494692,0.14258709834109404,1000,-0.0027364758561471136,0.7662337662337663
Klagelied des Volkes,0.024840995155237796,0.027657531471559266,1000,-0.0028165363163214704,0.6253746253746254
Königspsalm,0.0276563957935914,0.03240656503625659,1000,-0.004750169242665192,0.916083916083916
Liturgie,0.05457427110146901,0.051629449554487054,1000,0.002944821546981953,0.19080919080919082
Mischgedicht,0.033596775538815085,0.03576676505375693,1000,-0.0021699895149418433,0.5734265734265734
Thronbesteigungslied,0.013877554282057877,0.017401007449496762,1000,-0.003523453167438885,0.8851148851148851
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.026010415109639008,0.02651321197809196,1000,-0.0005027968684529517,0.5044955044955045
Zionslied,0.0292055670445565,0.016881580398110864,1000,0.012323986646445635,0.029970029970029972
prophetische Gerichtsrede,0.005780346820809248,0.007316707363648455,1000,-0.0015363605428392064,0.5134865134865135
"prophetische Schelt-, Droh- und Mahnrede",0.040701165424820544,0.03787474604702239,1000,0.0028264193777981575,0.2727272727272727
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
