genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.014162905691473167,0.012795640792409102,1000,0.0013672648990640645,0.08691308691308691
Danklied des Einzelnen,0.036826278987382055,0.039672689081692684,1000,-0.0028464100943106294,0.8031968031968032
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09560003703900571,0.09245251448309265,1000,0.0031475225559130654,0.008991008991008992
Klagelied des Einzelnen,0.2214123825957486,0.21526743421663996,1000,0.0061449483791086446,0.02197802197802198
Klagelied des Volkes,0.019676083877482757,0.02014453664666788,1000,-0.000468452769185123,0.6743256743256744
Königspsalm,0.022594098164418396,0.02388717419506095,1000,-0.001293076030642555,0.99000999000999
Liturgie,0.04939915410605233,0.05363154788263686,1000,-0.004232393776584534,0.999000999000999
Mischgedicht,0.03191626269995905,0.03311011651108033,1000,-0.001193853811121283,0.7432567432567433
Thronbesteigungslied,0.014524125269175944,0.015613253370772056,1000,-0.0010891281015961117,0.9410589410589411
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02135739434556989,0.02241913283778296,1000,-0.0010617384922130685,0.993006993006993
Zionslied,0.02765978325394832,0.02740219641959808,1000,0.0002575868343502423,0.38161838161838163
prophetische Gerichtsrede,0.008695652173913044,0.010492589664062866,1000,-0.001796937490149822,0.6893106893106893
"prophetische Schelt-, Droh- und Mahnrede",0.023611563665327105,0.022555890175327945,1000,0.0010556734899991593,0.18181818181818182
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
