genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0073156774234959965,0.0072628563059882025,1000,5.2821117507794065e-05,0.3646353646353646
Danklied des Einzelnen,0.055829363450047326,0.05641279298748695,1000,-0.000583429537439624,0.6033966033966034
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08265326024348696,0.08365020264243285,1000,-0.0009969423989458909,0.8781218781218781
Klagelied des Einzelnen,0.20927063682018435,0.20019621478718927,1000,0.009074422032995078,0.001998001998001998
Klagelied des Volkes,0.02681612406778653,0.030274115961291183,1000,-0.0034579918935046527,0.996003996003996
Königspsalm,0.03740531886971817,0.03830814571445123,1000,-0.0009028268447330567,0.6533466533466533
Liturgie,0.048847481861805625,0.0488731888345601,1000,-2.5706972754474533e-05,0.46553446553446554
Mischgedicht,0.04734689621493277,0.046067017423864855,1000,0.0012798787910679177,0.28771228771228774
Thronbesteigungslied,0.02890989417891957,0.02513882662449319,1000,0.0037710675544263793,0.1918081918081918
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027976686052459357,0.031049213422783047,1000,-0.0030725273703236904,0.952047952047952
Zionslied,0.026469318556650516,0.026019234409461425,1000,0.0004500841471890907,0.3996003996003996
prophetische Gerichtsrede,0.008403361344537815,0.008977688693216176,1000,-0.0005743273486783617,0.5954045954045954
"prophetische Schelt-, Droh- und Mahnrede",0.1709426824737393,0.1057968698471897,1000,0.06514581262654962,0.16083916083916083
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
