genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009538671550808252,0.011108461044231153,1000,-0.0015697894934229017,0.29270729270729273
Danklied des Einzelnen,0.047228922918835875,0.04166776502997454,1000,0.005561157888861336,0.13286713286713286
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09408391345175551,0.10178288423385522,1000,-0.007698970782099704,0.968031968031968
Klagelied des Einzelnen,0.14320477499399004,0.14279072689161496,1000,0.00041404810237508083,0.4225774225774226
Klagelied des Volkes,0.022040139694674866,0.025199584600666698,1000,-0.003159444905991831,0.8741258741258742
Königspsalm,0.028223865613568308,0.03025585937626608,1000,-0.0020319937626977723,0.6983016983016983
Liturgie,0.05429128138629722,0.053803625636921266,1000,0.0004876557493759537,0.36663336663336665
Mischgedicht,0.03720775967450982,0.04213375943868303,1000,-0.004925999764173204,0.7072927072927073
Thronbesteigungslied,0.018678970052205233,0.016363294292536135,1000,0.002315675759669098,0.17182817182817184
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.025759200447272704,0.02813262489505641,1000,-0.002373424447783705,0.7492507492507493
Zionslied,0.014548707380426575,0.017791308089483367,1000,-0.0032426007090567924,0.7432567432567433
prophetische Gerichtsrede,0.005154639175257732,0.006311375008056489,1000,-0.001156735832798757,0.7022977022977023
"prophetische Schelt-, Droh- und Mahnrede",0.02466503267973856,0.024403084382711635,1000,0.0002619482970269253,0.3206793206793207
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
