genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008064214947732965,0.008055859989039703,1000,8.354958693262277e-06,0.4695304695304695
Danklied des Einzelnen,0.0567692440352336,0.058679356911415737,1000,-0.0019101128761821393,0.9100899100899101
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08479176071631787,0.08652502779745144,1000,-0.0017332670811335688,0.998001998001998
Klagelied des Einzelnen,0.20579268491321573,0.1971473642749529,1000,0.008645320638262816,0.000999000999000999
Klagelied des Volkes,0.025041939350521656,0.027514030143086208,1000,-0.002472090792564552,1.0
Königspsalm,0.028346610480214696,0.028781390045009105,1000,-0.0004347795647944089,0.7332667332667333
Liturgie,0.04385780046681859,0.043782328794540276,1000,7.547167227831691e-05,0.4195804195804196
Mischgedicht,0.03499122378706099,0.035476026167413785,1000,-0.0004848023803527973,0.7132867132867133
Thronbesteigungslied,0.050342349563647415,0.018749138100595406,1000,0.03159321146305201,0.000999000999000999
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.034326369600167564,0.0365621169282664,1000,-0.002235747328098836,0.8931068931068931
Zionslied,0.014795904784289065,0.013832301435363466,1000,0.0009636033489255989,0.02197802197802198
prophetische Gerichtsrede,0.007518796992481203,0.007604430494498654,1000,-8.56335020174518e-05,0.5514485514485514
"prophetische Schelt-, Droh- und Mahnrede",0.17174717491005606,0.009646363812012582,1000,0.16210081109804347,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
