genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007483120528348477,0.007514609594114005,1000,-3.148906576552757e-05,0.4565434565434565
Danklied des Einzelnen,0.05740892214936171,0.058243601925522324,1000,-0.0008346797761606128,0.6683316683316683
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08124459005341478,0.08258264153507971,1000,-0.001338051481664937,0.984015984015984
Klagelied des Einzelnen,0.2089292626121016,0.20149428759529742,1000,0.0074349750168041795,0.001998001998001998
Klagelied des Volkes,0.028250491710751228,0.03030944539279904,1000,-0.002058953682047813,0.949050949050949
Königspsalm,0.031318355767099015,0.03138703876534816,1000,-6.868299824914353e-05,0.5184815184815185
Liturgie,0.04705837928246563,0.04598130652099186,1000,0.0010770727614737713,0.16883116883116883
Mischgedicht,0.04470767912142005,0.042478534495838806,1000,0.002229144625581242,0.13386613386613386
Thronbesteigungslied,0.019936632922471418,0.018520076576909815,1000,0.001416556345561603,0.17682317682317683
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03019152369766908,0.034618105883332036,1000,-0.004426582185662956,0.999000999000999
Zionslied,0.01839139779648659,0.017960245917096766,1000,0.0004311518793898225,0.3226773226773227
prophetische Gerichtsrede,0.007407407407407408,0.00785841632683495,1000,-0.00045100891942754205,0.6703296703296703
"prophetische Schelt-, Droh- und Mahnrede",0.17121844961957164,0.14427992128694067,1000,0.026938528332630968,0.2917082917082917
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
