genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010263846606336838,0.010180588828953292,1000,8.32577773835462e-05,0.3276723276723277
Danklied des Einzelnen,0.03391284100399061,0.033879738802028096,1000,3.310220196251629e-05,0.46353646353646355
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08933163953616952,0.08920134199522972,1000,0.0001302975409397944,0.3776223776223776
Klagelied des Einzelnen,0.19381773208224837,0.19811334882997966,1000,-0.004295616747731296,0.972027972027972
Klagelied des Volkes,0.06922005607172402,0.04471657935718252,1000,0.0245034767145415,0.04095904095904096
Königspsalm,0.03911862973049264,0.03698757716650216,1000,0.0021310525639904807,0.07492507492507493
Liturgie,0.05411137799944798,0.05436962792413188,1000,-0.00025824992468390096,0.6173826173826173
Mischgedicht,0.022523384094700796,0.022863212162350977,1000,-0.00033982806765018095,0.8781218781218781
Thronbesteigungslied,0.030597318173403783,0.026761623045701264,1000,0.0038356951277025188,0.0959040959040959
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.021674158151397213,0.021157243150396545,1000,0.000516915001000668,0.022977022977022976
Zionslied,0.011997000373105828,0.012053409303721237,1000,-5.64089306154085e-05,0.8061938061938062
prophetische Gerichtsrede,0.011111111111111112,0.01026048985900806,1000,0.0008506212521030513,0.4865134865134865
"prophetische Schelt-, Droh- und Mahnrede",0.04187051532941943,0.045370814361832414,1000,-0.0035002990324129804,0.5074925074925075
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
