genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009275001618254914,0.009471101330463309,1000,-0.00019609971220839462,0.3756243756243756
Danklied des Einzelnen,0.0497308406289131,0.06769540222632497,1000,-0.017964561597411874,0.999000999000999
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.0852847800323282,0.08901008619707662,1000,-0.003725306164748421,0.97002997002997
Klagelied des Einzelnen,0.19807433005438185,0.19092857485861267,1000,0.007145755195769182,0.11188811188811189
Klagelied des Volkes,0.0324158259753927,0.031032356149216383,1000,0.0013834698261763166,0.23976023976023977
Königspsalm,0.028031192687935632,0.02520559981047152,1000,0.0028255928774641136,0.04895104895104895
Liturgie,0.04945149331155323,0.047678586509733646,1000,0.0017729068018195807,0.18181818181818182
Mischgedicht,0.03658135451259781,0.03581509644004242,1000,0.0007662580725553911,0.36063936063936064
Thronbesteigungslied,0.01396248185314834,0.013459466410313937,1000,0.0005030154428344036,0.26073926073926074
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.058713424337245135,0.04998922360944166,1000,0.008724200727803472,0.0939060939060939
Zionslied,0.02272129913326318,0.017548374978540778,1000,0.0051729241547224004,0.04295704295704296
prophetische Gerichtsrede,0.005291005291005291,0.0068477222756082095,1000,-0.0015567169846029188,0.962037962037962
"prophetische Schelt-, Droh- und Mahnrede",0.08893664807930607,0.017588255154408296,1000,0.07134839292489778,0.013986013986013986
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
