genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00973851611036301,0.009000726869274391,1000,0.0007377892410886187,0.2077922077922078
Danklied des Einzelnen,0.05114881818856362,0.05955167823886297,1000,-0.008402860050299346,0.9530469530469531
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08678762685072006,0.09229116363480978,1000,-0.005503536784089727,0.99000999000999
Klagelied des Einzelnen,0.20535971866206398,0.19178049121052748,1000,0.013579227451536502,0.017982017982017984
Klagelied des Volkes,0.024165805796051446,0.025412418278656028,1000,-0.0012466124826045824,0.6403596403596403
Königspsalm,0.027386405106052156,0.026112196833470457,1000,0.0012742082725816992,0.2097902097902098
Liturgie,0.049101976839711126,0.0487490332822956,1000,0.00035294355741552486,0.39760239760239763
Mischgedicht,0.03242673541295255,0.03242436554999252,1000,2.3698629600318877e-06,0.4745254745254745
Thronbesteigungslied,0.012952885594377697,0.015058871359659155,1000,-0.0021059857652814575,0.6283716283716284
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.05363974409158619,0.048215726849602104,1000,0.005424017241984089,0.2087912087912088
Zionslied,0.017453849068193996,0.016172639262396076,1000,0.0012812098057979199,0.1968031968031968
prophetische Gerichtsrede,0.005405405405405406,0.007288009460335374,1000,-0.001882604054929968,0.9210789210789211
"prophetische Schelt-, Droh- und Mahnrede",0.0098734175984845,0.007576085641354559,1000,0.002297331957129942,0.04995004995004995
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
