genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0067823866574206575,0.006899281766261879,1000,-0.0001168951088412213,0.45454545454545453
Danklied des Einzelnen,0.05300381217176105,0.05592632232173187,1000,-0.0029225101499708236,0.965034965034965
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08111505512531264,0.08320951228805577,1000,-0.0020944571627431324,0.997002997002997
Klagelied des Einzelnen,0.20344194154571493,0.19059839124268774,1000,0.012843550303027196,0.000999000999000999
Klagelied des Volkes,0.027731606609716852,0.03001105520752722,1000,-0.002279448597810367,0.987012987012987
Königspsalm,0.03419129479711962,0.037227214795535486,1000,-0.003035919998415869,0.98001998001998
Liturgie,0.04854073572469167,0.04740714394603104,1000,0.0011335917786606323,0.19480519480519481
Mischgedicht,0.04492052701058516,0.04593475550755602,1000,-0.0010142284969708593,0.7292707292707292
Thronbesteigungslied,0.021666530036660407,0.017584379276332333,1000,0.0040821507603280745,0.04795204795204795
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029326765148389587,0.03205839156684617,1000,-0.0027316264184565862,0.991008991008991
Zionslied,0.026122706381844135,0.023878433597769488,1000,0.0022442727840746475,0.18081918081918083
prophetische Gerichtsrede,0.009009009009009009,0.00921782892202477,1000,-0.00020881991301576093,0.5324675324675324
"prophetische Schelt-, Droh- und Mahnrede",0.17088082218854997,0.09041399318304505,1000,0.08046682900550492,0.02097902097902098
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
