genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010747605861394978,0.01285590295385206,1000,-0.0021082970924570822,0.7012987012987013
Danklied des Einzelnen,0.07010706685294935,0.0714303921247417,1000,-0.0013233252717923527,0.5464535464535465
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09549224394232139,0.09842732137288696,1000,-0.0029350774305655636,0.8331668331668332
Klagelied des Einzelnen,0.17953028662355147,0.17027086040319217,1000,0.009259426220359301,0.027972027972027972
Klagelied des Volkes,0.03536505903545804,0.03499914258536259,1000,0.0003659164500954479,0.4045954045954046
Königspsalm,0.025716359751726852,0.025638187923374255,1000,7.817182835259673e-05,0.44955044955044954
Liturgie,0.04681251418190489,0.04726517076890553,1000,-0.00045265658700063827,0.5404595404595405
Mischgedicht,0.03370114411199748,0.033892581334833936,1000,-0.0001914372228364533,0.4955044955044955
Thronbesteigungslied,0.052981725492751895,0.019659027777957677,1000,0.03332269771479422,0.004995004995004995
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029323979959124974,0.02947424500759779,1000,-0.00015026504847281616,0.46053946053946054
Zionslied,0.02084569818559299,0.018744744641303136,1000,0.0021009535442898554,0.18581418581418582
prophetische Gerichtsrede,0.0051813471502590676,0.012550927905423991,1000,-0.007369580755164923,0.9560439560439561
"prophetische Schelt-, Droh- und Mahnrede",0.1728395061728395,0.07525422766450371,1000,0.09758527850833579,0.022977022977022976
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
