genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0073295813694628925,0.007416690608837749,1000,-8.710923937485689e-05,0.6343656343656343
Danklied des Einzelnen,0.04102188317527322,0.04138657811882972,1000,-0.00036469494355649557,0.5394605394605395
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08641385071722565,0.08684736185436806,1000,-0.0004335111371424061,0.6453546453546454
Klagelied des Einzelnen,0.18599850021144365,0.1882969595307305,1000,-0.0022984593192868497,0.7272727272727273
Klagelied des Volkes,0.04045476513878962,0.04041059334027378,1000,4.4171798515839356e-05,0.3936063936063936
Königspsalm,0.029312542654382972,0.028950136752699713,1000,0.000362405901683259,0.34065934065934067
Liturgie,0.04749109944977432,0.0468458385350054,1000,0.0006452609147689151,0.2997002997002997
Mischgedicht,0.023191293743887155,0.024172983541663008,1000,-0.0009816897977758532,0.7462537462537463
Thronbesteigungslied,0.029078835161343124,0.02830193791866352,1000,0.0007768972426796042,0.3626373626373626
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.053344579266855555,0.028986580286876694,1000,0.02435799897997886,0.02097902097902098
Zionslied,0.014450511069065766,0.018790371099109273,1000,-0.004339860030043507,0.6893106893106893
prophetische Gerichtsrede,0.01639344262295082,0.014158524503313046,1000,0.0022349181196377743,0.012987012987012988
"prophetische Schelt-, Droh- und Mahnrede",0.018482887881233194,0.01751004795792717,1000,0.000972839923306025,0.5084915084915085
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
