genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.02750825766765506,0.016104400014141353,1000,0.011403857653513708,0.03596403596403597
Danklied des Einzelnen,0.05337402496084805,0.05616228884628138,1000,-0.00278826388543333,0.9080919080919081
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.13691058476865564,0.1406896223842905,1000,-0.0037790376156348615,0.932067932067932
Klagelied des Einzelnen,0.2811290503870642,0.25854906733599986,1000,0.022579983051064345,0.000999000999000999
Klagelied des Volkes,0.03731549906923698,0.0415622627693064,1000,-0.00424676370006942,0.8681318681318682
Königspsalm,0.03564701644337478,0.03376232294997696,1000,0.0018846934933978154,0.20279720279720279
Liturgie,0.06845821187201948,0.06464085478410428,1000,0.0038173570879151963,0.04595404595404595
Mischgedicht,0.04071370925409653,0.04519375938734936,1000,-0.004480050133252832,0.986013986013986
Thronbesteigungslied,0.08512774999351984,0.10718566198230707,1000,-0.022057911988787232,0.932067932067932
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04289480080619785,0.03990443177139965,1000,0.0029903690347981987,0.1978021978021978
Zionslied,0.0774348958644431,0.0750335014716944,1000,0.0024013943927487097,0.3696303696303696
prophetische Gerichtsrede,0.2,0.061887277888320595,1000,0.1381127221116794,0.04795204795204795
"prophetische Schelt-, Droh- und Mahnrede",0.17777777777777778,0.1773699480079808,1000,0.0004078297697969746,0.4005994005994006
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
