genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007873838130564506,0.007973844306312821,1000,-0.00010000617574831491,0.6773226773226774
Danklied des Einzelnen,0.06249907649897222,0.06963269491021319,1000,-0.007133618411240973,1.0
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10884689869800121,0.11233072976776665,1000,-0.0034838310697654362,0.985014985014985
Klagelied des Einzelnen,0.20002245422600434,0.19191998427641457,1000,0.008102469949589769,0.000999000999000999
Klagelied des Volkes,0.026332832549923607,0.025972942733919445,1000,0.0003598898160041622,0.34265734265734266
Königspsalm,0.034789365049428506,0.03337515182019488,1000,0.0014142132292336226,0.1108891108891109
Liturgie,0.042687746951246816,0.043093033826178496,1000,-0.0004052868749316804,0.8111888111888111
Mischgedicht,0.03717432509030602,0.0406245432705765,1000,-0.003450218180270477,0.996003996003996
Thronbesteigungslied,0.044555307090520885,0.026387184042119715,1000,0.01816812304840117,0.002997002997002997
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027080391830466316,0.02720363506828709,1000,-0.00012324323782077554,0.5574425574425574
Zionslied,0.02013728453031668,0.01991455107899122,1000,0.00022273345132546238,0.35264735264735264
prophetische Gerichtsrede,0.007751937984496124,0.00802493527155444,1000,-0.00027299728705831687,0.6613386613386614
"prophetische Schelt-, Droh- und Mahnrede",0.027057071116452842,0.009213863167049563,1000,0.017843207949403278,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
