genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.012651442501102905,0.013341310724846537,1000,-0.0006898682237436327,0.4075924075924076
Danklied des Einzelnen,0.047791167821501016,0.04593714960281989,1000,0.0018540182186811277,0.24675324675324675
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.14649093233007965,0.15357045795580573,1000,-0.007079525625726085,0.8911088911088911
Klagelied des Einzelnen,0.22390019621264015,0.22966402183572474,1000,-0.005763825623084584,0.7452547452547452
Klagelied des Volkes,0.02422823950861567,0.030119088781145074,1000,-0.005890849272529405,0.99000999000999
Königspsalm,0.026669267300172855,0.02636689147242357,1000,0.00030237582774928634,0.3826173826173826
Liturgie,0.061385501979589654,0.058693830165121835,1000,0.0026916718144678192,0.12287712287712288
Mischgedicht,0.03584152549306267,0.040519240180774845,1000,-0.004677714687712171,0.8271728271728271
Thronbesteigungslied,0.037692388092359135,0.053876852967275186,1000,-0.016184464874916052,0.8011988011988012
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.039153428402069465,0.04093802678258713,1000,-0.0017845983805176643,0.6463536463536463
Zionslied,0.0303429815654026,0.03287641328386115,1000,-0.0025334317184585488,0.6903096903096904
prophetische Gerichtsrede,0.003787878787878788,0.0037392656127501604,1000,4.8613175128627614e-05,0.3936063936063936
"prophetische Schelt-, Droh- und Mahnrede",0.17095546352512295,0.03871757481843084,1000,0.13223788870669212,0.03396603396603397
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
