genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006009864953650369,0.006258313256711421,1000,-0.000248448303061052,0.8141858141858141
Danklied des Einzelnen,0.06813197378271164,0.065452936855166,1000,0.002679036927545647,0.3046953046953047
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.1276692112735469,0.1345340519379419,1000,-0.006864840664394994,0.8551448551448552
Klagelied des Einzelnen,0.1652551835337145,0.1568446531674828,1000,0.008410530366231683,0.007992007992007992
Klagelied des Volkes,0.028827097394059573,0.027184958420490433,1000,0.0016421389735691398,0.16983016983016982
Königspsalm,0.03504642187462026,0.03187418613557664,1000,0.0031722357390436204,0.10589410589410589
Liturgie,0.04822104599131798,0.04967876987216305,1000,-0.0014577238808450646,0.7602397602397603
Mischgedicht,0.04568944055934796,0.036890057421287356,1000,0.008799383138060606,0.04795204795204795
Thronbesteigungslied,0.026664912791334233,0.07892913348964124,1000,-0.05226422069830701,0.922077922077922
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.05627678324915843,0.03986908040929947,1000,0.016407702839858956,0.03196803196803197
Zionslied,0.024973474385907173,0.017150938248176924,1000,0.007822536137730249,0.002997002997002997
prophetische Gerichtsrede,0.006369426751592357,0.00793179546838825,1000,-0.0015623687167958932,0.6523476523476524
"prophetische Schelt-, Droh- und Mahnrede",0.17039872905428163,0.09371639926236784,1000,0.07668232979191379,0.33466533466533466
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
