genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009094681750415367,0.009491490227387907,1000,-0.0003968084769725398,0.7502497502497503
Danklied des Einzelnen,0.04365400903653019,0.043020517760119364,1000,0.0006334912764108247,0.3776223776223776
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.14423321267556014,0.15098516313875046,1000,-0.006751950463190326,0.9370629370629371
Klagelied des Einzelnen,0.2659703106085892,0.2811287232119037,1000,-0.015158412603314464,0.9120879120879121
Klagelied des Volkes,0.03424349364867484,0.03644268574447303,1000,-0.0021991920957981845,0.7832167832167832
Königspsalm,0.0274739407709391,0.027999631776511144,1000,-0.0005256910055720446,0.6203796203796204
Liturgie,0.06717703800517175,0.06647838248042837,1000,0.0006986555247433801,0.3886113886113886
Mischgedicht,0.030281781644324084,0.033016198681376466,1000,-0.0027344170370523814,0.8901098901098901
Thronbesteigungslied,0.10280031268424786,0.07240835808566558,1000,0.03039195459858228,0.12187812187812187
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04030856599373639,0.04170034617585947,1000,-0.0013917801821230827,0.6333666333666333
Zionslied,0.035463259862490375,0.03976060559892256,1000,-0.004297345736432187,0.8281718281718282
prophetische Gerichtsrede,0.004016064257028112,0.0038939789676647914,1000,0.0001220852893633207,0.3156843156843157
"prophetische Schelt-, Droh- und Mahnrede",0.11649804262929825,0.06834072078643229,1000,0.04815732184286596,0.15084915084915085
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
