genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008266985488483699,0.010055904935584212,1000,-0.0017889194471005128,0.948051948051948
Danklied des Einzelnen,0.04641886149533764,0.04780333748751268,1000,-0.0013844759921750396,0.6503496503496503
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09448351906809895,0.09712567034179252,1000,-0.002642151273693577,0.8201798201798202
Klagelied des Einzelnen,0.18822062751291008,0.18922435549329478,1000,-0.0010037279803847,0.5544455544455544
Klagelied des Volkes,0.03047309087300741,0.02859754986092591,1000,0.0018755410120815004,0.2177822177822178
Königspsalm,0.045562560702892003,0.040653667569569195,1000,0.004908893133322809,0.13586413586413587
Liturgie,0.041761743639923785,0.04263097429972953,1000,-0.0008692306598057434,0.7572427572427572
Mischgedicht,0.04519234668929375,0.042789529658008904,1000,0.0024028170312848443,0.27372627372627373
Thronbesteigungslied,0.042733152980441204,0.02571772091259266,1000,0.017015432067848543,0.053946053946053944
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03244035015881364,0.033452333046279877,1000,-0.001011982887466234,0.5114885114885115
Zionslied,0.018304132909078598,0.0176261621256957,1000,0.0006779707833828967,0.25574425574425574
prophetische Gerichtsrede,0.004132231404958678,0.0037698490003143133,1000,0.0003623824046443645,0.059940059940059943
"prophetische Schelt-, Droh- und Mahnrede",0.013000223221620543,0.007986493806713927,1000,0.005013729414906616,0.03796203796203796
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
