genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008328032398070482,0.007645245461304187,1000,0.0006827869367662951,0.12787212787212787
Danklied des Einzelnen,0.05397895128214031,0.04898968529168945,1000,0.00498926599045086,0.1108891108891109
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10159959453563647,0.1002868525270637,1000,0.0013127420085727731,0.3126873126873127
Klagelied des Einzelnen,0.19237764924122688,0.18703666378927006,1000,0.005340985451956826,0.1848151848151848
Klagelied des Volkes,0.025238460411693673,0.027436699345164968,1000,-0.002198238933471295,0.8321678321678322
Königspsalm,0.02979390588208095,0.03153067540097374,1000,-0.0017367695188927924,0.7662337662337663
Liturgie,0.04874770964197901,0.04668630317786424,1000,0.002061406464114769,0.08391608391608392
Mischgedicht,0.03052797516198205,0.028940188006892218,1000,0.0015877871550898336,0.24675324675324675
Thronbesteigungslied,0.021830888679337076,0.017188165470201782,1000,0.004642723209135294,0.03696303696303696
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03156206267786471,0.03376404383774967,1000,-0.002201981159884958,0.6983016983016983
Zionslied,0.02455668421860742,0.025205571095745612,1000,-0.0006488868771381932,0.4725274725274725
prophetische Gerichtsrede,0.006622516556291391,0.00898016515769697,1000,-0.0023576486014055794,0.7482517482517482
"prophetische Schelt-, Droh- und Mahnrede",0.014387254901960784,0.009343811198582234,1000,0.00504344370337855,0.08291708291708291
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
