genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008812550372924024,0.010891423482902056,1000,-0.002078873109978032,0.961038961038961
Danklied des Einzelnen,0.041817730671758646,0.04349886290482707,1000,-0.0016811322330684206,0.7402597402597403
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09677706461986274,0.09749994338306286,1000,-0.0007228787632001243,0.5774225774225774
Klagelied des Einzelnen,0.18650348473431444,0.19255904997393594,1000,-0.006055565239621502,0.8761238761238761
Klagelied des Volkes,0.03293366191976644,0.0294804360490964,1000,0.0034532258706700403,0.10989010989010989
Königspsalm,0.04508042918552687,0.04239302036778466,1000,0.0026874088177422095,0.26073926073926074
Liturgie,0.04189771727831923,0.04330601134078887,1000,-0.001408294062469638,0.9040959040959041
Mischgedicht,0.03805584729439069,0.03772694772111121,1000,0.00032889957327948,0.3966033966033966
Thronbesteigungslied,0.041851706315685466,0.031644343145571824,1000,0.010207363170113642,0.12887112887112886
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.032877548789420216,0.03167731040378405,1000,0.0012002383856361681,0.26973026973026976
Zionslied,0.027531167343876485,0.019061066695679287,1000,0.008470100648197199,0.04495504495504495
prophetische Gerichtsrede,0.003861003861003861,0.0036465715039732363,1000,0.00021443235703062476,0.04095904095904096
"prophetische Schelt-, Droh- und Mahnrede",0.01152403314171592,0.01031652289413152,1000,0.0012075102475843993,0.2547452547452547
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
