genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006578237488347859,0.0061775013833881235,1000,0.00040073610495973584,0.03696303696303696
Danklied des Einzelnen,0.06150489876074132,0.06653428629513633,1000,-0.005029387534395011,0.999000999000999
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10232141913250262,0.10630812328029735,1000,-0.0039867041477947285,1.0
Klagelied des Einzelnen,0.18969509014141137,0.18203094362560296,1000,0.0076641465158084066,0.000999000999000999
Klagelied des Volkes,0.030434727376965846,0.03065384709461441,1000,-0.00021911971764856583,0.5784215784215784
Königspsalm,0.03303014356663963,0.03188729277033573,1000,0.0011428507963038986,0.07392607392607392
Liturgie,0.04376323109591163,0.0434310689535319,1000,0.00033216214237972996,0.1838161838161838
Mischgedicht,0.04082286448870883,0.042612513082980925,1000,-0.0017896485942720947,0.965034965034965
Thronbesteigungslied,0.01555263235515494,0.013562431347485169,1000,0.0019902010076697715,0.001998001998001998
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03126667429425992,0.030674488543801073,1000,0.0005921857504588499,0.14085914085914086
Zionslied,0.014734447317684616,0.015089069966862047,1000,-0.0003546226491774312,0.7232767232767233
prophetische Gerichtsrede,0.007575757575757576,0.007676740660663453,1000,-0.00010098308490587727,0.6193806193806194
"prophetische Schelt-, Droh- und Mahnrede",0.17027834505710612,0.006876614934991412,1000,0.1634017301221147,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
