genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009985679348198384,0.009729265793485048,1000,0.0002564135547133365,0.26873126873126874
Danklied des Einzelnen,0.0413191805318668,0.04206429493774408,1000,-0.0007451144058772813,0.6663336663336663
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.14542139216284353,0.152279695869045,1000,-0.0068583037062014685,0.9760239760239761
Klagelied des Einzelnen,0.30067336096586106,0.3126443879885001,1000,-0.011971027022639025,0.8581418581418582
Klagelied des Volkes,0.03708424871461207,0.037661415544676384,1000,-0.0005771668300643129,0.5774225774225774
Königspsalm,0.027759003714292883,0.028707642389091084,1000,-0.0009486386747982016,0.7882117882117882
Liturgie,0.06998983426943427,0.06900853583461801,1000,0.000981298434816258,0.3116883116883117
Mischgedicht,0.030296731387041868,0.03214644174831669,1000,-0.0018497103612748235,0.7992007992007992
Thronbesteigungslied,0.10952274839333857,0.08246720594040298,1000,0.027055542452935594,0.11888111888111888
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03966854420421043,0.042516010658906894,1000,-0.002847466454696461,0.9050949050949051
Zionslied,0.03336170328321365,0.036815694359595794,1000,-0.00345399107638214,0.8561438561438561
prophetische Gerichtsrede,0.00398406374501992,0.004087989219546742,1000,-0.00010392547452682185,0.6213786213786214
"prophetische Schelt-, Droh- und Mahnrede",0.1729780271154745,0.08266772478349117,1000,0.09031030233198332,0.0899100899100899
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
