genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008088385507939354,0.009388630671582807,1000,-0.0013002451636434532,0.8621378621378621
Danklied des Einzelnen,0.043367734703952596,0.05002479791052388,1000,-0.006657063206571286,0.97002997002997
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10512278373685358,0.10590519228882374,1000,-0.0007824085519701623,0.5294705294705294
Klagelied des Einzelnen,0.20773508038081448,0.20583557951584153,1000,0.0018995008649729528,0.3776223776223776
Klagelied des Volkes,0.028036603867981128,0.032838601719427235,1000,-0.004801997851446107,0.7022977022977023
Königspsalm,0.025125328814649482,0.025254562404553104,1000,-0.0001292335899036219,0.44755244755244755
Liturgie,0.05689646433492822,0.058256631104756124,1000,-0.0013601667698279057,0.6023976023976024
Mischgedicht,0.02779380006037427,0.028283301685993106,1000,-0.0004895016256188378,0.4885114885114885
Thronbesteigungslied,0.018056155918844612,0.02024436000229535,1000,-0.0021882040834507385,0.6703296703296703
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028052568978688915,0.03202562181764896,1000,-0.003973052838960045,0.7162837162837162
Zionslied,0.058000051395079695,0.04050484060026404,1000,0.017495210794815655,0.12687312687312688
prophetische Gerichtsrede,0.007874015748031496,0.011951501264186423,1000,-0.004077485516154927,0.7992007992007992
"prophetische Schelt-, Droh- und Mahnrede",0.016854096418138804,0.008031019686202602,1000,0.008823076731936202,0.024975024975024976
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
