genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.008117397132493166,0.008557843234972018,1000,-0.0004404461024788524,0.47152847152847155
Danklied des Einzelnen,0.04462944495083697,0.04748239269918096,1000,-0.0028529477483439925,0.7332667332667333
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09177723767341701,0.09614793262010479,1000,-0.004370694946687778,0.8971028971028971
Klagelied des Einzelnen,0.21544940546682934,0.20741180533100753,1000,0.008037600135821804,0.13986013986013987
Klagelied des Volkes,0.032112552157873675,0.0346892156936341,1000,-0.002576663535760422,0.5134865134865135
Königspsalm,0.02620721121606052,0.029329106585140877,1000,-0.003121895369080356,0.8601398601398601
Liturgie,0.05321119222398414,0.055744914953444746,1000,-0.002533722729460605,0.7622377622377622
Mischgedicht,0.03147113132840475,0.031554775553179835,1000,-8.36442247750882e-05,0.3876123876123876
Thronbesteigungslied,0.02614850185423548,0.02282932675360336,1000,0.003319175100632118,0.17182817182817184
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.05350146113431644,0.03343792103284974,1000,0.0200635401014667,0.011988011988011988
Zionslied,0.021406553794961668,0.024329013746351116,1000,-0.0029224599513894486,0.4865134865134865
prophetische Gerichtsrede,0.006211180124223602,0.009916666511408179,1000,-0.003705486387184577,0.8641358641358642
"prophetische Schelt-, Droh- und Mahnrede",0.08683428243974069,0.014893323875987498,1000,0.07194095856375318,0.01898101898101898
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
