genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006578558364739785,0.007227467737911461,1000,-0.0006489093731716754,0.9430569430569431
Danklied des Einzelnen,0.048246731319840724,0.049874811646325796,1000,-0.0016280803264850721,0.6893106893106893
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.09052232502796782,0.09249064501333445,1000,-0.0019683199853666317,0.7872127872127872
Klagelied des Einzelnen,0.19119829479122952,0.18526893882423526,1000,0.00592935596699426,0.11288711288711288
Klagelied des Volkes,0.031215957761105084,0.029112322633504842,1000,0.0021036351276002424,0.1958041958041958
Königspsalm,0.04101467974899157,0.042092711920279254,1000,-0.001078032171287685,0.5444555444555444
Liturgie,0.04005087551892924,0.042764951308766654,1000,-0.002714075789837414,0.997002997002997
Mischgedicht,0.042167740135448176,0.040849302225755516,1000,0.0013184379096926602,0.3026973026973027
Thronbesteigungslied,0.017770625472720836,0.019621017863519333,1000,-0.001850392390798497,0.43156843156843155
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03734102259840944,0.03731405589449322,1000,2.6966703916220247e-05,0.36163836163836166
Zionslied,0.020009258587780653,0.01671077831542713,1000,0.003298480272353521,0.08191808191808192
prophetische Gerichtsrede,0.004545454545454545,0.00411392272098762,1000,0.00043153182446692504,0.07092907092907093
"prophetische Schelt-, Droh- und Mahnrede",0.0452515015015015,0.013298602579871421,1000,0.03195289892163008,0.027972027972027972
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
